PLAYER,BIRTH_DATE
Al-Farouq Aminu,1990-09-21
Ryan Arcidiacono,1994-03-26
Troy Brown Jr.,1999-07-28
Wendell Carter Jr.,1999-04-16
Devon Dotson,1999-08-02
Cristiano Felício,1992-07-07
Daniel Gafford,1998-10-01
Javonte Green,1993-07-23
Chandler Hutchison,1996-04-26
Luke Kornet,1995-07-15
Zach LaVine,1995-03-10
Lauri Markkanen,1997-05-22
Adam Mokoka,1998-07-18
Otto Porter Jr.,1993-06-03
Tomáš Satoranský,1991-10-30
Garrett Temple,1986-05-08
Daniel Theis,1992-04-04
Denzel Valentine,1993-11-16
Nikola Vučević,1990-10-24
Coby White,2000-02-16
Patrick Williams,2001-08-26
Thaddeus Young,1988-06-21
