PLAYER,BIRTH_DATE
Al-Farouq Aminu,1990-09-21
Cole Anthony,2000-05-15
Dwayne Bacon,1995-08-30
Mo Bamba,1998-05-12
Khem Birch,1992-09-28
Jordan Bone,1997-11-05
Ignas Brazdeikis,1999-01-08
Devin Cannady,1996-05-21
Wendell Carter Jr.,1999-04-16
Michael Carter-Williams,1991-10-10
Gary Clark,1994-11-16
James Ennis III,1990-07-01
Evan Fournier,1992-10-29
Robert Franks,1996-12-18
Markelle Fultz,1998-05-29
Aaron Gordon,1995-09-16
Donta Hall,1997-08-07
R.J. Hampton,2001-02-07
Gary Harris,1994-09-14
Karim Mané,2000-05-16
Frank Mason III,1994-04-03
Chuma Okeke,1998-08-18
Otto Porter Jr.,1993-06-03
Chasson Randle,1993-02-05
Terrence Ross,1991-02-05
Sindarius Thornwell,1994-11-15
Nikola Vučević,1990-10-24
Moritz Wagner,1997-04-26
