PLAYER,BIRTH_DATE
OG Anunoby,1997-07-17
Aron Baynes,1986-12-09
DeAndre' Bembry,1994-07-04
Khem Birch,1992-09-28
Chris Boucher,1993-01-11
Terence Davis,1997-05-16
Henry Ellenson,1997-01-13
Malachi Flynn,1998-05-10
Freddie Gillespie,1997-06-14
Jalen Harris,1998-08-14
Rodney Hood,1992-10-20
Stanley Johnson,1996-05-29
Alex Len,1993-06-16
Kyle Lowry,1986-03-25
Patrick McCaw,1995-10-25
Norman Powell,1993-05-25
Pascal Siakam,1994-04-02
Matt Thomas,1994-08-04
Gary Trent Jr.,1999-01-18
Fred VanVleet,1994-02-25
Yuta Watanabe,1994-10-13
Paul Watson,1994-12-30
