PLAYER,BIRTH_DATE
Jarrett Allen,1998-04-21
Marques Bolden,1998-04-17
Quinn Cook,1993-03-23
Matthew Dellavedova,1990-09-08
Damyean Dotson,1994-05-06
Andre Drummond,1993-08-10
Dante Exum,1995-07-13
Yogi Ferrell,1993-05-09
Darius Garland,2000-01-26
Isaiah Hartenstein,1998-05-05
Mfiondu Kabengele,1997-08-14
Kevin Love,1988-09-07
Thon Maker,1997-02-25
Jeremiah Martin,1996-06-19
JaVale McGee,1988-01-19
Larry Nance Jr.,1993-01-01
Isaac Okoro,2001-01-26
Cedi Osman,1995-04-08
Taurean Prince,1994-03-22
Collin Sexton,1999-01-04
Lamar Stevens,1997-07-09
Brodric Thomas,1997-01-28
Anderson Varejão,1982-09-28
Dean Wade,1996-11-20
Dylan Windler,1996-09-22
