PLAYER,BIRTH_DATE
Precious Achiuwa,1999-09-19
Bam Adebayo,1997-07-18
Trevor Ariza,1985-06-30
Nemanja Bjelica,1988-05-09
Avery Bradley,1990-11-26
Jimmy Butler,1989-09-14
Dewayne Dedmon,1989-08-12
Goran Dragić,1986-05-06
Maurice Harkless,1993-05-11
Udonis Haslem,1980-06-09
Tyler Herro,2000-01-20
Andre Iguodala,1984-01-28
Meyers Leonard,1992-02-27
Kendrick Nunn,1995-08-03
KZ Okpala,1999-04-28
Victor Oladipo,1992-05-04
Kelly Olynyk,1991-04-19
Duncan Robinson,1994-04-22
Chris Silva,1996-09-19
Max Strus,1996-03-28
Gabe Vincent,1996-06-14
