PLAYER,BIRTH_DATE
Jaylen Adams,1996-05-04
Giannis Antetokounmpo,1994-12-06
Thanasis Antetokounmpo,1992-07-18
D.J. Augustin,1987-11-10
Elijah Bryant,1995-04-19
Pat Connaughton,1993-01-06
Torrey Craig,1990-12-19
Mamadi Diakite,1997-01-21
Donte DiVincenzo,1997-01-31
Bryn Forbes,1993-07-23
Jrue Holiday,1990-06-12
Justin Jackson,1995-03-28
Rodions Kurucs,1998-02-05
Brook Lopez,1988-04-01
Sam Merrill,1996-05-15
Khris Middleton,1991-08-12
Jordan Nwora,1998-09-09
Bobby Portis,1995-02-10
Jeff Teague,1988-06-10
Axel Toupane,1992-07-23
P.J. Tucker,1985-05-05
D.J. Wilson,1996-02-19
