PLAYER,BIRTH_DATE
Arron Afflalo,1985-10-15
Darrell Arthur,1988-03-25
Will Barton,1991-01-06
Wilson Chandler,1987-05-10
Ian Clark,1991-03-07
Kenneth Faried,1989-11-19
Randy Foye,1983-09-24
Jamaal Franklin,1991-07-21
Danilo Gallinari,1988-08-08
Alonzo Gee,1987-05-29
Erick Green,1991-05-09
Gary Harris,1994-09-14
J.J. Hickson,1988-09-04
Joffrey Lauvergne,1991-09-30
Ty Lawson,1987-11-03
JaVale McGee,1988-01-19
Timofey Mozgov,1986-07-16
Jameer Nelson,1982-02-09
Jusuf Nurkić,1994-08-23
Nate Robinson,1984-05-31
