PLAYER,BIRTH_DATE
Furkan Aldemir,1991-08-09
Isaiah Canaan,1991-05-21
Michael Carter-Williams,1991-10-10
Robert Covington,1990-12-14
Brandon Davies,1991-07-25
Larry Drew II,1990-03-05
Tim Frazier,1990-11-01
Drew Gordon,1990-07-12
Jerami Grant,1994-03-12
Chris Johnson,1990-04-29
Malcolm Lee,1990-05-22
Luc Mbah a Moute,1986-09-09
K.J. McDaniels,1993-02-09
JaVale McGee,1988-01-19
Nerlens Noel,1994-04-10
Jason Richardson,1981-01-20
Glenn Robinson III,1994-01-08
Thomas Robinson,1991-03-17
JaKarr Sampson,1993-03-20
Alexey Shved,1988-12-16
Henry Sims,1990-03-27
Ish Smith,1988-07-05
Malcolm Thomas,1988-11-08
Hollis Thompson,1991-04-03
Tony Wroten,1993-04-13
