PLAYER,BIRTH_DATE
Giannis Antetokounmpo,1994-12-06
Jerryd Bayless,1988-08-20
Michael Carter-Williams,1991-10-10
Jared Dudley,1985-07-10
Tyler Ennis,1994-08-24
Jorge Gutiérrez,1988-12-27
John Henson,1990-12-28
Ersan İlyasova,1987-05-15
Chris Johnson,1990-04-29
Brandon Knight,1991-12-02
Kendall Marshall,1991-08-19
Kenyon Martin,1977-12-30
O.J. Mayo,1987-11-05
Khris Middleton,1991-08-12
Johnny O'Bryant,1993-06-01
Zaza Pachulia,1984-02-10
Jabari Parker,1995-03-15
Miles Plumlee,1988-09-01
Larry Sanders,1988-11-21
Nate Wolters,1991-05-15
