PLAYER,BIRTH_DATE
Joel Anthony,1982-08-09
D.J. Augustin,1987-11-10
Caron Butler,1980-03-13
Kentavious Caldwell-Pope,1993-02-18
Gigi Datome,1987-11-27
Spencer Dinwiddie,1993-04-06
Andre Drummond,1993-08-10
Reggie Jackson,1990-04-16
Brandon Jennings,1989-09-23
Jonas Jerebko,1987-03-02
John Lucas III,1982-11-21
Cartier Martin,1984-11-20
Jodie Meeks,1987-08-21
Quincy Miller,1992-11-18
Greg Monroe,1990-06-04
Tayshaun Prince,1980-02-28
Kyle Singler,1988-05-04
Josh Smith,1985-12-05
Anthony Tolliver,1985-06-01
Shawne Williams,1986-02-16
