PLAYER,BIRTH_DATE
Giannis Antetokounmpo,1994-12-06
Eric Bledsoe,1989-12-09
Joel Bolomboy,1994-01-28
Malcolm Brogdon,1992-12-11
Sterling Brown,1995-02-10
Matthew Dellavedova,1990-09-08
John Henson,1990-12-28
Brandon Jennings,1989-09-23
Sean Kilpatrick,1990-01-06
DeAndre Liggins,1988-03-31
Thon Maker,1997-02-25
Khris Middleton,1991-08-12
Greg Monroe,1990-06-04
Shabazz Muhammad,1992-11-13
Xavier Munford,1992-06-01
Jabari Parker,1995-03-15
Gary Payton II,1992-12-01
Marshall Plumlee,1992-07-14
Tony Snell,1991-11-10
Mirza Teletović,1985-09-18
Jason Terry,1977-09-15
Rashad Vaughn,1996-08-16
D.J. Wilson,1996-02-19
Tyler Zeller,1990-01-17
