PLAYER,BIRTH_DATE
José Calderón,1981-09-28
Jordan Clarkson,1992-06-07
Jae Crowder,1990-07-06
Channing Frye,1983-05-17
Jeff Green,1986-08-28
George Hill,1986-05-04
John Holland,1988-11-06
Rodney Hood,1992-10-20
LeBron James,1984-12-30
Kyle Korver,1981-03-17
Kevin Love,1988-09-07
Larry Nance Jr.,1993-01-01
Cedi Osman,1995-04-08
Kendrick Perkins,1984-11-10
London Perrantes,1994-10-03
Derrick Rose,1988-10-04
Iman Shumpert,1990-06-26
J.R. Smith,1985-09-09
Isaiah Thomas,1989-02-07
Tristan Thompson,1991-03-13
Dwyane Wade,1982-01-17
Ante Žižić,1997-01-04
