PLAYER,BIRTH_DATE
Lonzo Ball,1997-10-27
Vander Blue,1992-07-17
Andrew Bogut,1984-11-28
Corey Brewer,1986-03-05
Thomas Bryant,1997-07-31
Kentavious Caldwell-Pope,1993-02-18
Alex Caruso,1994-02-28
Jordan Clarkson,1992-06-07
Luol Deng,1985-04-16
Tyler Ennis,1994-08-24
Channing Frye,1983-05-17
Josh Hart,1995-03-06
Nigel Hayes,1994-12-16
Andre Ingram,1985-11-19
Brandon Ingram,1997-09-02
Kyle Kuzma,1995-07-24
Brook Lopez,1988-04-01
Larry Nance Jr.,1993-01-01
Gary Payton II,1992-12-01
Julius Randle,1994-11-29
Isaiah Thomas,1989-02-07
Travis Wear,1990-09-21
Derrick Williams,1991-05-25
Ivica Zubac,1997-03-18
