PLAYER,BIRTH_DATE
Quincy Acy,1990-10-06
Jarrett Allen,1998-04-21
Trevor Booker,1987-11-25
DeMarre Carroll,1986-07-27
Allen Crabbe,1992-04-09
Dante Cunningham,1987-04-22
Spencer Dinwiddie,1993-04-06
Milton Doyle,1993-10-31
Joe Harris,1991-09-06
Rondae Hollis-Jefferson,1995-01-03
Sean Kilpatrick,1990-01-06
Caris LeVert,1994-08-25
Jeremy Lin,1988-08-23
Timofey Mozgov,1986-07-16
Jahlil Okafor,1995-12-15
D'Angelo Russell,1996-02-23
Nik Stauskas,1993-10-07
Rashad Vaughn,1996-08-16
James Webb III,1993-08-19
Isaiah Whitehead,1995-03-08
Jacob Wiley,1994-09-04
Tyler Zeller,1990-01-17
