PLAYER,BIRTH_DATE
Kadeem Allen,1993-01-15
Aron Baynes,1986-12-09
Jabari Bird,1994-07-03
Jaylen Brown,1996-10-24
Jarell Eddie,1991-10-30
Jonathan Gibson,1987-11-08
Gordon Hayward,1990-03-23
Al Horford,1986-06-03
Kyrie Irving,1992-03-23
Shane Larkin,1992-10-02
Greg Monroe,1990-06-04
Marcus Morris,1989-09-02
Abdel Nader,1993-09-25
Semi Ojeleye,1994-12-05
Terry Rozier,1994-03-17
Xavier Silas,1988-01-22
Marcus Smart,1994-03-06
Jayson Tatum,1998-03-03
Daniel Theis,1992-04-04
Guerschon Yabusele,1995-12-17
