PLAYER,BIRTH_DATE
Ron Baker,1993-03-30
Michael Beasley,1989-01-09
Trey Burke,1992-11-12
Damyean Dotson,1994-05-06
Enes Freedom,1992-05-20
Tim Hardaway Jr.,1992-03-16
Willy Hernangómez,1994-05-27
Isaiah Hicks,1994-07-24
Jarrett Jack,1983-10-28
Luke Kornet,1995-07-15
Mindaugas Kuzminskas,1989-10-19
Courtney Lee,1985-10-03
Doug McDermott,1992-01-03
Emmanuel Mudiay,1996-03-05
Joakim Noah,1985-02-25
Frank Ntilikina,1998-07-28
Kyle O'Quinn,1990-03-26
Kristaps Porziņģis,1995-08-02
Ramon Sessions,1986-04-11
Lance Thomas,1988-04-24
Troy Williams,1994-12-30
