PLAYER,BIRTH_DATE
J.J. Barea,1984-06-26
Harrison Barnes,1992-05-30
Gian Clavell,1993-11-26
Antonius Cleveland,1994-02-02
Kyle Collinsworth,1991-10-03
Yogi Ferrell,1993-05-09
Dorian Finney-Smith,1993-05-04
Devin Harris,1983-02-27
Aaron Harrison,1994-10-28
Scotty Hopson,1989-08-08
Jalen Jones,1993-05-27
Maxi Kleber,1992-01-29
Wesley Matthews,1986-10-14
Doug McDermott,1992-01-03
Josh McRoberts,1987-02-28
Salah Mejri,1986-06-15
Johnathan Motley,1995-05-04
Nerlens Noel,1994-04-10
Dirk Nowitzki,1978-06-19
Dwight Powell,1991-07-20
Dennis Smith Jr.,1997-11-25
Jameel Warney,1994-01-31
Jeff Withey,1990-03-07
