PLAYER,BIRTH_DATE
Ryan Arcidiacono,1994-03-26
Ömer Aşık,1986-07-04
Antonio Blakeney,1996-10-04
Kris Dunn,1994-03-18
Jarell Eddie,1991-10-30
Kay Felder,1995-03-29
Cristiano Felício,1992-07-07
Jerian Grant,1992-10-09
Justin Holiday,1989-04-05
Sean Kilpatrick,1990-01-06
Zach LaVine,1995-03-10
Robin Lopez,1988-04-01
Lauri Markkanen,1997-05-22
Nikola Mirotić,1991-02-11
David Nwaba,1993-01-14
Cameron Payne,1994-08-08
Quincy Pondexter,1988-03-10
Bobby Portis,1995-02-10
Denzel Valentine,1993-11-16
Noah Vonleh,1995-08-24
Paul Zipser,1994-02-18
