PLAYER,BIRTH_DATE
Ryan Anderson,1988-05-06
Trevor Ariza,1985-06-30
Tarik Black,1991-11-22
Bobby Brown,1984-09-24
Markel Brown,1992-01-29
Isaiah Canaan,1991-05-21
Clint Capela,1994-05-18
Eric Gordon,1988-12-25
Gerald Green,1986-01-26
James Harden,1989-08-26
Nenê,1982-09-13
R.J. Hunter,1993-10-24
Aaron Jackson,1986-05-06
Demetrius Jackson,1994-09-07
Joe Johnson,1981-06-29
Luc Mbah a Moute,1986-09-09
Chinanu Onuaku,1996-11-01
Chris Paul,1985-05-06
Zhou Qi,1996-01-16
Tim Quarterman,1994-10-27
P.J. Tucker,1985-05-05
Briante Weber,1992-12-29
Troy Williams,1994-12-30
Brandan Wright,1987-10-05
