PLAYER,BIRTH_DATE
Ike Anigbogu,1998-10-17
Bojan Bogdanović,1989-04-18
Trevor Booker,1987-11-25
Darren Collison,1987-08-23
Al Jefferson,1985-01-04
Cory Joseph,1991-08-20
T.J. Leaf,1997-04-30
Trey McKinney-Jones,1990-08-27
Ben Moore,1995-05-13
Victor Oladipo,1992-05-04
Alex Poythress,1993-09-06
Glenn Robinson III,1994-01-08
Domantas Sabonis,1996-05-03
Lance Stephenson,1990-09-05
Edmond Sumner,1995-12-31
Myles Turner,1996-03-24
Damien Wilkins,1980-01-11
Joe Young,1992-06-27
Thaddeus Young,1988-06-21
