PLAYER,BIRTH_DATE
Calvin Booth,1976-05-07
Bobby Brown,1984-09-24
Ike Diogu,1983-09-11
Quincy Douby,1984-05-16
Francisco García,1981-12-31
Drew Gooden,1981-09-24
Donté Greene,1988-02-21
Spencer Hawes,1988-04-28
Bobby Jackson,1973-03-13
Kevin Martin,1983-02-01
Rashad McCants,1984-09-25
Brad Miller,1976-04-12
Mikki Moore,1975-11-04
Andrés Nocioni,1979-11-30
John Salmons,1979-12-12
Cedric Simmons,1986-01-03
Will Solomon,1978-07-20
Kenny Thomas,1977-07-25
Jason Thompson,1986-07-21
Beno Udrih,1982-07-05
Shelden Williams,1983-10-21
