PLAYER,BIRTH_DATE
Chucky Atkins,1974-08-14
Nick Collison,1980-10-26
Kevin Durant,1988-09-29
Jeff Green,1986-08-28
Steven Hill,1985-11-14
Nenad Krstić,1983-07-25
Shaun Livingston,1985-09-11
Desmond Mason,1977-10-11
Johan Petro,1986-01-27
Malik Rose,1974-11-23
Thabo Sefolosha,1984-05-02
Mouhamed Sene,1986-05-12
Joe Smith,1975-07-26
Robert Swift,1985-12-03
Earl Watson,1979-06-12
Kyle Weaver,1986-02-18
Russell Westbrook,1988-11-12
D.J. White,1986-08-31
Chris Wilcox,1982-09-03
Damien Wilkins,1980-01-11
