PLAYER,BIRTH_DATE
Shareef Abdur-Rahim,1976-12-11
Corey Benjamin,1978-02-24
Chris Crawford,1975-05-13
Emanual Davis,1968-08-27
Dan Dickau,1978-09-16
Dion Glover,1978-10-22
Darvin Ham,1973-07-23
Antonio Harvey,1970-07-06
Alan Henderson,1972-12-02
Jermaine Jackson,1976-06-07
Matt Maloney,1971-12-06
Amal McCaskill,1973-10-28
Nazr Mohammed,1977-09-05
Mikki Moore,1975-11-04
Ira Newble,1975-01-20
Theo Ratliff,1973-04-17
Glenn Robinson,1973-01-10
Paul Shirley,1977-12-23
Jason Terry,1977-09-15
Mike Wilks,1979-05-07
Brandon Williams,1975-02-27
