SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLAYER
2018-19,26.0,ORL,NBA,C,50.0,1.0,643.0,5.1,8.5,0.603,0.0,0.1,0.0,5.1,8.4,0.607,3.2,4.6,0.699,4.4,6.2,10.6,2.1,1.0,1.6,1.1,4.0,13.4,Khem Birch
2019-20,27.0,ORL,NBA,C,48.0,24.0,922.0,2.9,5.6,0.51,0.0,0.0,0.0,2.9,5.5,0.514,2.6,3.9,0.653,3.6,5.0,8.6,2.0,0.8,0.9,1.2,3.6,8.3,Khem Birch
2020-21,28.0,TOT,NBA,C,67.0,22.0,1529.0,4.4,8.9,0.497,0.3,1.2,0.25,4.1,7.7,0.537,2.1,3.0,0.705,4.1,5.0,9.1,2.1,1.1,1.2,1.0,2.7,11.3,Khem Birch
2020-21,28.0,ORL,NBA,C,48.0,5.0,952.0,3.6,7.9,0.45,0.2,0.8,0.19,3.4,7.1,0.479,2.4,3.2,0.741,4.4,4.8,9.2,2.0,1.2,1.1,0.9,2.5,9.6,Khem Birch
2020-21,28.0,TOR,NBA,C,19.0,17.0,577.0,5.9,10.7,0.556,0.6,1.9,0.29,5.4,8.7,0.614,1.7,2.7,0.636,3.6,5.4,9.0,2.2,1.0,1.4,1.3,2.9,14.2,Khem Birch
2021-22,29.0,TOR,NBA,C,55.0,28.0,991.0,3.5,7.3,0.485,0.0,0.5,0.0,3.5,6.8,0.522,1.9,2.6,0.746,4.4,4.3,8.7,2.0,1.1,0.9,1.1,3.8,9.0,Khem Birch
2022-23,30.0,TOR,NBA,C,20.0,0.0,162.0,4.2,7.1,0.594,0.2,0.4,0.5,4.0,6.7,0.6,0.9,1.1,0.8,1.8,3.8,5.6,1.6,1.1,1.1,1.8,5.3,9.6,Khem Birch
2017-18,25.0,GSW,NBA,PF,1.0,0.0,1.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Chris Boucher
2018-19,26.0,TOR,NBA,PF,28.0,0.0,163.0,7.5,16.8,0.447,2.7,8.2,0.324,4.9,8.6,0.564,2.9,3.3,0.867,3.5,8.8,12.4,0.4,1.3,5.3,1.5,6.8,20.5,Chris Boucher
2019-20,27.0,TOR,NBA,C,62.0,0.0,819.0,6.2,13.1,0.472,1.7,5.2,0.322,4.5,8.0,0.569,4.0,5.1,0.784,4.7,7.5,12.2,1.1,1.0,2.7,1.2,5.0,18.1,Chris Boucher
2020-21,28.0,TOR,NBA,C,60.0,14.0,1453.0,7.1,13.9,0.514,2.2,5.8,0.383,4.9,8.1,0.609,3.8,4.8,0.788,2.9,7.1,10.0,1.6,0.9,2.8,1.1,4.1,20.3,Chris Boucher
2021-22,29.0,TOR,NBA,SF,80.0,9.0,1690.0,5.7,12.3,0.464,1.4,4.9,0.297,4.3,7.4,0.575,3.2,4.1,0.777,3.8,6.7,10.5,0.5,1.0,1.6,0.9,3.7,16.1,Chris Boucher
2022-23,30.0,TOR,NBA,PF,76.0,0.0,1523.0,6.2,12.5,0.493,1.5,4.5,0.328,4.7,8.0,0.585,3.0,4.0,0.762,3.7,6.2,10.0,0.7,1.1,1.5,1.0,3.4,16.8,Chris Boucher
2019-20,22.0,TOR,NBA,SG,72.0,4.0,1209.0,5.9,13.0,0.456,2.8,7.2,0.388,3.1,5.8,0.541,1.5,1.8,0.864,1.5,5.6,7.1,3.4,1.2,0.4,2.3,3.7,16.2,Terence Davis
2020-21,23.0,TOT,NBA,SG,61.0,4.0,1074.0,6.5,15.3,0.428,3.3,8.9,0.367,3.3,6.3,0.513,1.5,1.8,0.818,0.7,4.5,5.2,2.8,1.5,0.5,2.1,3.3,17.9,Terence Davis
2020-21,23.0,TOR,NBA,SG,34.0,4.0,493.0,6.4,15.3,0.414,3.2,8.9,0.361,3.1,6.4,0.489,1.2,1.3,0.889,0.7,4.2,4.8,2.7,1.2,0.5,2.1,3.5,17.1,Terence Davis
2020-21,23.0,SAC,NBA,SG,27.0,0.0,581.0,6.7,15.2,0.439,3.3,9.0,0.372,3.3,6.3,0.535,1.8,2.3,0.784,0.7,4.8,5.5,2.9,1.7,0.4,2.1,3.0,18.5,Terence Davis
2021-22,24.0,SAC,NBA,SG,30.0,11.0,536.0,7.6,17.9,0.423,3.3,10.0,0.329,4.3,7.9,0.542,2.4,3.0,0.818,0.7,5.6,6.3,2.7,1.7,0.7,2.2,4.7,20.9,Terence Davis
2022-23,25.0,SAC,NBA,SG,64.0,5.0,841.0,6.6,15.6,0.423,3.8,10.4,0.366,2.8,5.2,0.537,1.5,1.8,0.791,0.9,5.1,6.0,2.9,1.8,0.5,2.3,4.5,18.4,Terence Davis
2016-17,20.0,DET,NBA,PF,19.0,2.0,146.0,5.7,15.8,0.359,2.5,8.6,0.286,3.2,7.2,0.448,1.0,2.0,0.5,2.0,8.1,10.1,1.7,0.2,0.2,3.5,1.5,14.8,Henry Ellenson
2017-18,21.0,DET,NBA,PF,38.0,0.0,329.0,5.8,16.0,0.363,2.2,6.6,0.333,3.6,9.4,0.384,2.7,3.2,0.862,1.1,7.8,8.9,2.2,0.5,0.0,2.0,2.4,16.5,Henry Ellenson
2018-19,22.0,TOT,NBA,PF,19.0,0.0,259.0,5.4,13.2,0.411,2.4,5.3,0.447,3.1,7.9,0.386,2.6,3.5,0.76,0.7,8.5,9.2,2.2,1.0,0.3,1.3,3.8,15.8,Henry Ellenson
2018-19,22.0,DET,NBA,PF,2.0,0.0,25.0,5.8,14.4,0.4,2.9,5.8,0.5,2.9,8.6,0.333,2.9,2.9,1.0,0.0,13.0,13.0,1.4,0.0,0.0,0.0,2.9,17.3,Henry Ellenson
2018-19,22.0,NYK,NBA,PF,17.0,0.0,234.0,5.4,13.1,0.412,2.3,5.2,0.441,3.1,7.8,0.392,2.6,3.5,0.739,0.8,8.0,8.8,2.3,1.1,0.3,1.4,3.8,15.7,Henry Ellenson
2019-20,23.0,BRK,NBA,C,5.0,0.0,15.0,2.4,16.8,0.143,0.0,9.6,0.0,2.4,7.2,0.333,0.0,0.0,0.0,4.8,9.6,14.4,2.4,0.0,0.0,0.0,2.4,4.8,Henry Ellenson
2020-21,24.0,TOR,NBA,PF,2.0,0.0,38.0,4.7,13.3,0.357,1.9,8.5,0.222,2.8,4.7,0.6,2.8,3.8,0.75,2.8,8.5,11.4,4.7,0.0,0.0,0.0,6.6,14.2,Henry Ellenson
2020-21,22.0,TOR,NBA,PG,47.0,14.0,928.0,4.9,13.2,0.374,2.1,6.5,0.321,2.8,6.7,0.424,1.7,2.2,0.804,0.4,4.1,4.5,5.3,1.5,0.3,1.7,2.6,13.7,Malachi Flynn
2021-22,23.0,TOR,NBA,PG,44.0,5.0,537.0,4.8,12.3,0.393,2.0,6.0,0.333,2.8,6.2,0.452,1.0,1.6,0.625,0.7,3.6,4.2,4.7,1.3,0.3,0.9,3.0,12.7,Malachi Flynn
