PLAYER,BIRTH_DATE
Cole Aldrich,1988-10-31
James Anderson,1989-03-25
Ömer Aşık,1986-07-04
Patrick Beverley,1988-07-12
Aaron Brooks,1985-01-14
Daequan Cook,1987-04-28
Carlos Delfino,1982-08-29
Toney Douglas,1986-03-16
Francisco García,1981-12-31
James Harden,1989-08-26
Terrence Jones,1992-01-09
Jeremy Lin,1988-08-23
Scott Machado,1990-06-08
Marcus Morris,1989-09-02
Donatas Motiejūnas,1990-09-20
Tim Ohlbrecht,1988-08-30
Chandler Parsons,1988-10-25
Patrick Patterson,1989-03-14
Thomas Robinson,1991-03-17
Greg Smith,1991-01-08
