PLAYER,BIRTH_DATE
Josh Akognon,1986-02-10
Rodrigue Beaubois,1988-02-24
Elton Brand,1979-03-11
Vince Carter,1977-01-26
Darren Collison,1987-08-23
Jae Crowder,1990-07-06
Jared Cunningham,1991-05-22
Eddy Curry,1982-12-05
Justin Dentmon,1985-09-05
Chris Douglas-Roberts,1987-01-08
Derek Fisher,1974-08-09
Bernard James,1985-02-07
Mike James,1975-06-23
Dahntay Jones,1980-12-27
Dominique Jones,1988-10-15
Chris Kaman,1982-04-28
Shawn Marion,1978-05-07
O.J. Mayo,1987-11-05
Anthony Morrow,1985-09-27
Troy Murphy,1980-05-02
Dirk Nowitzki,1978-06-19
Brandan Wright,1987-10-05
Chris Wright,1989-11-04
