PLAYER,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
Terry Taylor,2022-01-05,22-104,IND,HOME,BRK,L (-8),0,0:50,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+2
Terry Taylor,2022-01-12,22-111,IND,HOME,BOS,L (-19),0,4:40,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+3
Terry Taylor,2022-01-26,22-125,IND,HOME,CHO,L (-32),0,9:42,1,1,1.000,0,0,,2,2,1.000,2,3,5,2,0,0,0,1,4,7.0,-6
Terry Taylor,2022-01-28,22-127,IND,AWAY,OKC,W (+3),0,7:19,4,6,.667,0,0,,0,0,,3,2,5,0,0,0,0,1,8,7.7,+7
Terry Taylor,2022-01-29,22-128,IND,AWAY,DAL,L (-27),0,12:00,1,2,.500,0,1,.000,1,2,.500,1,1,2,0,0,2,0,0,3,4.0,-3
Terry Taylor,2022-01-31,22-130,IND,HOME,LAC,W (+6),0,21:10,7,11,.636,1,1,1.000,0,0,,5,3,8,2,0,0,0,1,15,15.5,-1
Terry Taylor,2022-02-02,22-132,IND,HOME,ORL,L (-1),0,36:57,10,15,.667,1,2,.500,3,4,.750,6,10,16,3,1,0,1,6,24,24.0,-2
Terry Taylor,2022-02-04,22-134,IND,HOME,CHI,L (-7),1,38:07,9,17,.529,1,2,.500,2,2,1.000,8,6,14,5,0,0,3,5,21,18.6,-3
Terry Taylor,2022-02-06,22-136,IND,AWAY,CLE,L (-13),0,11:34,2,6,.333,0,0,,0,0,,4,1,5,2,0,0,0,3,4,3.9,+1
Terry Taylor,2022-02-08,22-138,IND,AWAY,ATL,L (-21),0,23:34,3,9,.333,1,1,1.000,0,0,,6,4,10,1,0,0,0,1,7,7.6,-10
Terry Taylor,2022-02-13,22-143,IND,HOME,MIN,L (-9),0,12:56,4,7,.571,0,1,.000,2,2,1.000,4,1,5,1,0,0,0,2,10,9.7,-11
Terry Taylor,2022-02-15,22-145,IND,AWAY,MIL,L (-9),0,32:02,5,7,.714,0,1,.000,0,0,,2,7,9,2,1,0,0,2,10,12.2,+6
Terry Taylor,2022-02-16,22-146,IND,HOME,WAS,W (+5),1,36:04,9,11,.818,0,0,,0,1,.000,3,6,9,0,0,1,1,3,18,15.9,-9
