PLAYER,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
Matt Geiger,2000-04-22,30-225,PHI,AWAY,CHH,W (+10),0,19:25,1,6,.167,0,0,,4,6,.667,2,5,7,0,1,1,1,4,6,3.4,+10
Matt Geiger,2000-04-24,30-227,PHI,AWAY,CHH,L (-10),0,13:21,2,6,.333,0,0,,2,2,1.000,1,1,2,0,1,0,1,2,6,2.8,+2
Matt Geiger,2000-04-28,30-231,PHI,HOME,CHH,W (+5),0,12:50,3,3,1.000,0,0,,2,3,.667,1,1,2,0,0,0,0,4,8,6.1,-1
Matt Geiger,2000-05-01,30-234,PHI,HOME,CHH,W (+6),0,25:04,7,10,.700,0,0,,3,3,1.000,5,5,10,2,2,1,0,4,17,20.3,+9
Matt Geiger,2000-05-06,30-239,PHI,AWAY,IND,L (-17),0,10:52,2,5,.400,0,0,,2,2,1.000,1,2,3,0,0,0,1,1,6,3.2,-1
Matt Geiger,2000-05-08,30-241,PHI,AWAY,IND,L (-6),0,22:11,5,8,.625,0,0,,4,5,.800,3,4,7,0,1,0,0,1,14,13.9,0
Matt Geiger,2000-05-10,30-243,PHI,HOME,IND,L (-8),0,15:41,1,7,.143,0,0,,1,2,.500,3,2,5,0,0,0,0,3,3,-0.4,+8
Matt Geiger,2000-05-13,30-246,PHI,HOME,IND,W (+2),0,9:33,4,5,.800,0,0,,2,2,1.000,1,3,4,0,0,0,2,4,10,6.1,+1
Matt Geiger,2000-05-15,30-248,PHI,AWAY,IND,W (+21),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
Matt Geiger,2000-05-19,30-252,PHI,HOME,IND,L (-16),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
Matt Geiger,2001-04-21,31-223,PHI,HOME,IND,L (-1),0,10:42,1,2,.500,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,4,2.6,0
Matt Geiger,2001-04-24,31-226,PHI,HOME,IND,W (+18),0,6:16,1,2,.500,0,0,,0,0,,1,1,2,2,0,0,0,2,2,2.6,-1
Matt Geiger,2001-04-28,31-230,PHI,AWAY,IND,W (+5),0,4:22,1,1,1.000,0,0,,0,0,,2,2,4,0,0,0,0,3,2,2.5,+7
Matt Geiger,2001-05-02,31-234,PHI,AWAY,IND,W (+3),0,5:49,1,2,.500,0,0,,0,0,,1,1,2,1,1,0,1,2,2,1.9,+1
Matt Geiger,2001-05-06,31-238,PHI,HOME,TOR,L (-3),0,3:51,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1.5,-3
Matt Geiger,2001-05-16,31-248,PHI,HOME,TOR,W (+33),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Matt Geiger,2001-05-18,31-250,PHI,AWAY,TOR,L (-12),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Matt Geiger,2001-05-20,31-252,PHI,HOME,TOR,W (+1),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Matt Geiger,2001-05-22,31-254,PHI,HOME,MIL,W (+8),0,12:33,1,3,.333,0,0,,0,0,,3,1,4,1,0,0,0,0,2,3.4,-6
Matt Geiger,2001-05-24,31-256,PHI,HOME,MIL,L (-14),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Matt Geiger,2001-05-26,31-258,PHI,AWAY,MIL,L (-6),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Matt Geiger,2001-05-28,31-260,PHI,AWAY,MIL,W (+6),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Matt Geiger,2001-05-30,31-262,PHI,HOME,MIL,W (+1),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Matt Geiger,2001-06-01,31-264,PHI,AWAY,MIL,L (-10),0,2:50,0,0,,0,0,,0,0,,1,0,1,1,0,0,1,0,0,0.4,+2
Matt Geiger,2001-06-06,31-269,PHI,AWAY,LAL,W (+6),0,13:34,5,7,.714,0,0,,0,0,,0,0,0,0,1,0,1,6,10,4.7,+4
Matt Geiger,2001-06-08,31-271,PHI,AWAY,LAL,L (-9),0,12:29,2,4,.500,0,0,,0,0,,1,1,2,0,0,0,0,1,4,2.6,-2
Matt Geiger,2001-06-10,31-273,PHI,HOME,LAL,L (-5),0,5:02,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,2,3,4,0.2,+5
Matt Geiger,2001-06-13,31-276,PHI,HOME,LAL,L (-14),0,11:07,2,4,.500,0,0,,2,2,1.000,0,2,2,1,0,0,0,4,6,3.7,-7
Matt Geiger,2001-06-15,31-278,PHI,HOME,LAL,L (-12),0,11:03,1,1,1.000,0,0,,0,0,,1,0,1,1,0,0,0,6,2,0.7,-5
Elden Campbell,2000-04-22,31-274,CHH,HOME,PHI,L (-10),1,25:02,1,4,0.25,0,0,,0,0,,0,4,4,1,1,1,4,2,2,-1.6,-4
Elden Campbell,2000-04-24,31-276,CHH,HOME,PHI,W (+10),1,44:48,10,16,0.625,0,0,,0,0,,4,10,14,1,0,1,1,5,20,17.0,22
Elden Campbell,2000-04-28,31-280,CHH,AWAY,PHI,L (-5),1,35:29,4,8,0.5,0,0,,6,6,1.0,1,3,4,0,1,1,1,4,14,10.7,-5
Elden Campbell,2000-05-01,31-283,CHH,AWAY,PHI,L (-6),1,44:33,7,19,0.368,0,1,0.0,7,8,0.875,4,7,11,2,0,1,2,5,21,13.1,-8
Elden Campbell,2002-04-20,33-271,CHH,HOME,ORL,W (+1),1,24:07,3,12,0.25,0,0,,0,0,,5,4,9,2,0,3,1,5,6,4.0,-5
Elden Campbell,2002-04-23,33-274,CHH,HOME,ORL,L (-8),1,38:01,12,23,0.522,0,0,,3,4,0.75,2,11,13,4,1,3,1,3,27,23.7,0
Elden Campbell,2002-04-27,33-278,CHH,AWAY,ORL,W (+10),1,21:27,5,9,0.556,0,0,,0,0,,1,0,1,0,0,1,3,3,10,2.9,-24
Elden Campbell,2002-04-30,33-281,CHH,AWAY,ORL,W (+17),1,22:53,4,8,0.5,0,0,,2,2,1.0,1,6,7,2,0,2,2,3,10,8.1,-2
Elden Campbell,2002-05-05,33-286,CHH,AWAY,NJN,L (-6),1,30:45,8,18,0.444,0,0,,6,8,0.75,2,4,6,1,1,5,5,5,22,12.6,3
Elden Campbell,2002-05-07,33-288,CHH,AWAY,NJN,L (-14),1,32:13,6,14,0.429,0,0,,3,4,0.75,2,6,8,1,0,2,1,2,15,10.7,7
Elden Campbell,2002-05-09,33-290,CHH,HOME,NJN,W (+18),1,22:22,5,8,0.625,0,0,,4,6,0.667,0,5,5,3,0,2,0,5,14,12.6,7
Elden Campbell,2002-05-12,33-293,CHH,HOME,NJN,L (-10),1,34:46,2,9,0.222,0,1,0.0,3,4,0.75,0,6,6,2,3,3,1,3,7,7.2,-9
Elden Campbell,2002-05-15,33-296,CHH,AWAY,NJN,L (-8),1,26:50,4,9,0.444,0,0,,3,6,0.5,1,4,5,1,1,2,3,5,11,5.1,6
Elden Campbell,2004-04-18,35-270,DET,HOME,MIL,W (+26),0,4:54,0,3,.000,0,0,,0,0,,0,2,2,1,0,0,0,1,0,-1.2,+1
Elden Campbell,2004-05-03,35-285,DET,HOME,NJN,W (+22),0,11:12,1,2,.500,0,0,,2,2,1.000,0,4,4,0,0,1,2,4,4,1.3,-3
Elden Campbell,2004-05-07,35-289,DET,HOME,NJN,W (+15),0,4:05,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,1,0,-1.4,-3
Elden Campbell,2004-05-09,35-291,DET,AWAY,NJN,L (-18),0,5:02,0,3,.000,0,0,,1,2,.500,0,0,0,0,0,1,0,1,1,-1.2,-4
Elden Campbell,2004-05-11,35-293,DET,AWAY,NJN,L (-15),0,1:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-7
Elden Campbell,2004-05-22,35-304,DET,AWAY,IND,L (-4),0,7:29,1,4,.250,0,0,,0,0,,1,0,1,1,0,0,2,1,2,-1.4,-8
Elden Campbell,2004-05-24,35-306,DET,AWAY,IND,W (+5),0,10:46,1,2,.500,0,0,,0,2,.000,0,1,1,0,1,3,0,3,2,2.4,+7
Elden Campbell,2004-05-28,35-310,DET,HOME,IND,L (-15),0,3:27,1,2,.500,0,0,,2,2,1.000,0,0,0,0,0,1,0,1,4,3.3,0
Elden Campbell,2004-05-30,35-312,DET,AWAY,IND,W (+18),0,8:46,0,2,.000,0,0,,0,0,,2,1,3,0,0,0,1,3,0,-1.9,+1
Elden Campbell,2004-06-06,35-319,DET,AWAY,LAL,W (+12),0,18:25,2,5,.400,0,0,,2,6,.333,1,0,1,4,2,2,1,1,6,7.2,-3
Elden Campbell,2004-06-08,35-321,DET,AWAY,LAL,L (-8),0,8:56,1,2,.500,0,0,,0,0,,2,2,4,1,0,0,1,4,2,1.1,-4
Elden Campbell,2004-06-10,35-323,DET,HOME,LAL,W (+20),0,12:53,1,4,.250,0,0,,3,4,.750,2,0,2,1,3,0,0,3,5,6.1,+10
Elden Campbell,2004-06-13,35-326,DET,HOME,LAL,W (+8),0,13:14,0,3,.000,0,0,,0,0,,0,2,2,0,0,1,0,2,0,-1.6,-3
Elden Campbell,2004-06-15,35-328,DET,HOME,LAL,W (+13),0,14:57,2,2,1.000,0,0,,0,0,,1,3,4,2,0,0,1,3,4,4.2,+14
Elden Campbell,2005-05-09,36-290,DET,HOME,IND,W (+15),0,5:28,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,0,0,0,0.6,-6
Elden Campbell,2005-05-17,36-298,DET,HOME,IND,W (+19),0,5:53,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,0,1,0,0.3,-5
Elden Campbell,2005-05-23,36-304,DET,AWAY,MIA,W (+9),0,2:53,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,0
Elden Campbell,2005-05-25,36-306,DET,AWAY,MIA,L (-6),0,6:26,1,2,.500,0,0,,1,2,.500,0,1,1,1,1,0,0,1,3,3.2,-4
Elden Campbell,2005-05-29,36-310,DET,HOME,MIA,L (-9),0,6:55,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,0,2,2,2.2,+4
Elden Campbell,2005-05-31,36-312,DET,HOME,MIA,W (+10),0,9:10,2,2,1.000,0,0,,1,2,.500,0,0,0,0,0,0,1,3,5,1.8,+7
Elden Campbell,2005-06-02,36-314,DET,AWAY,MIA,L (-12),0,8:14,0,0,,0,0,,1,2,.500,0,3,3,0,0,0,1,4,1,-1.1,+3
Elden Campbell,2005-06-04,36-316,DET,HOME,MIA,W (+25),0,4:17,0,3,.000,0,0,,0,0,,0,3,3,0,0,0,0,0,0,-1.2,+4
Elden Campbell,2005-06-06,36-318,DET,AWAY,MIA,W (+6),0,7:24,0,2,.000,0,0,,1,2,.500,2,4,6,1,0,0,2,2,1,-0.3,+7
Elden Campbell,2005-06-23,36-335,DET,AWAY,SAS,L (-7),0,1:08,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-1
Elden Campbell,2001-04-21,32-272,CHH,AWAY,MIA,W (+26),1,24:13,2,5,0.4,0,0,,4,4,1.0,2,3,5,2,0,1,2,4,8,6.1,20
Elden Campbell,2001-04-23,32-274,CHH,AWAY,MIA,W (+26),1,22:04,1,7,0.143,0,0,,4,6,0.667,1,4,5,0,1,0,2,4,6,0.0,13
Elden Campbell,2001-04-27,32-278,CHH,HOME,MIA,W (+15),1,16:58,2,5,0.4,0,0,,1,2,0.5,0,3,3,0,0,1,1,6,5,0.1,-3
Elden Campbell,2001-05-06,32-287,CHH,AWAY,MIL,L (-12),1,34:56,6,16,0.375,0,0,,5,6,0.833,3,10,13,0,2,2,1,2,17,14.5,-5
Elden Campbell,2001-05-08,32-289,CHH,AWAY,MIL,L (-1),1,31:33,4,11,0.364,0,0,,5,5,1.0,2,6,8,0,0,1,0,2,13,10.0,0
Elden Campbell,2001-05-10,32-291,CHH,HOME,MIL,W (+10),1,30:21,7,12,0.583,0,0,,3,8,0.375,3,5,8,1,1,2,2,2,17,13.3,-3
Elden Campbell,2001-05-13,32-294,CHH,HOME,MIL,W (+7),1,36:17,5,16,0.313,0,0,,2,2,1.0,4,6,10,1,0,0,3,3,12,3.9,6
Elden Campbell,2001-05-15,32-296,CHH,AWAY,MIL,W (+8),1,32:18,5,11,0.455,0,0,,3,4,0.75,6,4,10,1,0,2,2,5,13,10.4,8
Elden Campbell,2001-05-17,32-298,CHH,HOME,MIL,L (-7),1,26:10,2,8,0.25,0,0,,8,10,0.8,3,4,7,0,0,0,1,5,12,6.7,-1
Elden Campbell,2001-05-20,32-301,CHH,AWAY,MIL,L (-9),1,33:10,8,15,0.533,0,0,,2,2,1.0,3,7,10,2,1,2,3,4,18,14.1,-2
George Hill,2018-04-15,31-346,CLE,HOME,IND,L (-18),1,18:42,3,7,.429,1,3,.333,0,0,,2,1,3,1,1,0,2,2,7,3.9,-14
George Hill,2018-04-18,31-349,CLE,HOME,IND,W (+3),1,20:01,2,3,.667,1,1,1.000,1,2,.500,0,0,0,3,0,0,2,6,6,2.0,+16
George Hill,2018-04-20,31-351,CLE,AWAY,IND,L (-2),1,23:23,4,6,.667,0,2,.000,5,6,.833,0,1,1,1,0,0,2,2,13,8.2,-3
George Hill,2018-04-29,31-360,CLE,HOME,IND,W (+4),0,19:12,1,3,.333,0,2,.000,9,11,.818,1,5,6,3,0,1,1,0,11,12.5,+5
George Hill,2018-05-01,31-362,CLE,AWAY,TOR,W (+1),1,28:20,2,7,.286,0,0,,0,0,,0,0,0,3,0,1,0,2,4,1.9,0
George Hill,2018-05-03,31-364,CLE,AWAY,TOR,W (+18),1,35:20,5,8,.625,0,2,.000,3,3,1.000,1,2,3,2,0,0,0,1,13,11.7,+20
George Hill,2018-05-05,32-001,CLE,HOME,TOR,W (+2),1,34:38,4,7,.571,2,3,.667,2,2,1.000,0,1,1,2,0,1,3,4,12,6.5,+6
George Hill,2018-05-07,32-003,CLE,HOME,TOR,W (+35),1,29:01,5,8,.625,0,1,.000,2,2,1.000,0,3,3,5,0,0,1,3,12,10.6,+24
George Hill,2018-05-13,32-009,CLE,AWAY,BOS,L (-25),1,28:18,2,4,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,1,5,2.6,-15
George Hill,2018-05-15,32-011,CLE,AWAY,BOS,L (-13),1,33:18,1,4,.250,0,2,.000,1,2,.500,1,1,2,1,0,2,0,3,3,2.1,-6
