PLAYER,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
Jack Cooley,2017-11-18,26-220,SAC,AWAY,POR,L (-12),0,1:36,.532,.000,0.0,93.8,37.5,88.2,0.0,0.0,0.0,52.3,133,108,2.3,46.5
Jack Cooley,2018-03-09,26-331,SAC,HOME,ORL,W (+6),0,8:10,.667,.667,42.0,0.0,21.0,47.1,0.0,0.0,0.0,33.4,149,104,7.4,13.9
Jack Cooley,2018-03-31,26-353,SAC,HOME,GSW,L (-16),0,17:58,.643,.600,17.1,25.4,21.0,19.1,2.7,0.0,0.0,13.2,152,112,9.2,5.0
Jack Cooley,2018-04-01,26-354,SAC,AWAY,LAL,W (+1),0,15:44,.387,.333,18.3,34.7,26.0,0.0,0.0,0.0,0.0,10.9,109,92,3.7,-5.8
Jack Cooley,2018-04-06,26-359,SAC,AWAY,MEM,W (+1),0,15:19,.600,.600,26.1,14.2,19.6,10.2,0.0,0.0,0.0,14.9,144,106,6.7,1.8
Jack Cooley,2018-04-09,26-362,SAC,AWAY,SAS,L (-13),0,10:09,.420,.333,10.3,10.7,10.5,0.0,0.0,0.0,17.4,27.1,81,116,0.7,-13.9
Jack Cooley,2018-04-11,26-364,SAC,HOME,HOU,W (+13),0,18:20,.595,.250,6.9,15.7,11.9,7.4,0.0,0.0,19.2,27.3,109,94,5.9,-6.6
Jack Cooley,2015-02-27,23-321,UTA,AWAY,DEN,W (+22),0,2:20,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.3,200,105,3.0,16.9
Jack Cooley,2015-03-16,23-338,UTA,HOME,CHO,W (+28),0,10:04,.333,.333,0.0,27.0,14.7,0.0,5.6,0.0,0.0,14.4,76,66,1.8,-1.0
Jack Cooley,2015-03-18,23-340,UTA,HOME,WAS,L (-4),0,1:13,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,111,0.0,-7.2
Jack Cooley,2015-03-19,23-341,UTA,AWAY,LAL,W (+7),0,4:32,,,0.0,0.0,0.0,0.0,24.4,0.0,100.0,11.8,0,42,0.2,-1.7
Jack Cooley,2015-03-21,23-343,UTA,AWAY,GSW,L (-15),0,2:50,1.136,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,250,126,1.6,7.0
Jack Cooley,2015-03-25,23-347,UTA,HOME,POR,L (-3),0,5:14,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,200,115,1.3,0.2
Jack Cooley,2015-03-27,23-349,UTA,AWAY,DEN,L (-16),0,6:26,,,0.0,0.0,0.0,0.0,8.1,0.0,,0.0,0,107,0.2,-7.3
Jack Cooley,2015-03-28,23-350,UTA,HOME,OKC,W (+5),0,4:24,1.000,1.000,20.2,30.3,24.2,0.0,0.0,0.0,50.0,19.8,97,96,0.9,-8.8
Jack Cooley,2015-03-30,23-352,UTA,AWAY,MIN,W (+20),0,2:47,.000,.000,0.0,40.1,21.3,0.0,20.2,0.0,0.0,16.9,0,52,0.6,1.1
Jack Cooley,2015-04-01,23-354,UTA,HOME,DEN,W (+14),0,1:08,.387,.333,100.0,88.2,96.3,0.0,0.0,68.3,0.0,100.0,102,19,2.2,-6.6
Jack Cooley,2015-04-05,23-358,UTA,AWAY,SAC,W (+6),0,5:57,.000,.000,35.1,55.0,44.8,0.0,0.0,0.0,0.0,13.4,56,92,0.0,-15.7
