PLAYER,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
Justin Wright-Foreman,2010-10-29,23-162,TOR,HOME,CLE,W (+20),0,4:16,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,0,0,-0.3,-3
Justin Wright-Foreman,2010-11-05,23-169,TOR,AWAY,LAL,L (-5),0,8:32,0,0,,0,0,,0,0,,1,4,5,1,0,0,1,0,0,1.6,0
Justin Wright-Foreman,2010-11-06,23-170,TOR,AWAY,POR,L (-13),0,16:49,3,6,.500,0,1,.000,5,8,.625,0,1,1,0,3,0,1,2,11,8.3,+3
Justin Wright-Foreman,2010-11-10,23-174,TOR,HOME,CHA,L (-5),0,21:00,4,7,.571,0,0,,1,1,1.000,2,2,4,2,1,1,0,2,9,10.0,+10
Justin Wright-Foreman,2010-11-12,23-176,TOR,AWAY,ORL,W (+4),0,24:10,3,7,.429,1,2,.500,0,1,.000,1,3,4,2,1,2,1,1,7,6.9,+9
Justin Wright-Foreman,2010-11-13,23-177,TOR,AWAY,MIA,L (-9),0,19:55,2,10,.200,0,5,.000,0,2,.000,0,1,1,3,0,2,1,2,4,-1.0,+1
Justin Wright-Foreman,2010-11-16,23-180,TOR,AWAY,WAS,L (-15),0,10:00,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,1,1,2,1.3,-3
Justin Wright-Foreman,2010-11-28,23-192,TOR,HOME,ATL,L (-18),0,6:38,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,+5
Justin Wright-Foreman,2010-12-01,23-195,TOR,HOME,WAS,W (+19),0,5:29,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0,0.3,-8
Justin Wright-Foreman,2010-12-05,23-199,TOR,HOME,NYK,L (-17),0,1:33,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+1
Justin Wright-Foreman,2010-12-06,23-200,TOR,AWAY,IND,L (-24),0,8:59,1,1,1.000,0,0,,0,0,,1,0,1,2,1,0,1,1,2,3.4,-13
Justin Wright-Foreman,2010-12-10,23-204,TOR,HOME,DEN,L (-7),0,14:32,1,2,.500,0,0,,2,2,1.000,1,0,1,0,1,0,0,1,4,4.3,+6
Justin Wright-Foreman,2010-12-11,23-205,TOR,AWAY,DET,W (+4),0,17:02,1,3,.333,0,0,,2,2,1.000,2,0,2,2,4,1,1,0,4,8.8,+17
Justin Wright-Foreman,2010-12-14,23-208,TOR,AWAY,CHA,L (-6),0,2:48,0,0,,0,0,,0,0,,0,0,0,1,0,0,2,0,0,-1.3,-4
Justin Wright-Foreman,2010-12-15,23-209,TOR,HOME,CHI,L (-17),0,17:04,2,4,.500,1,1,1.000,0,0,,0,0,0,2,1,0,1,2,5,3.6,+6
Justin Wright-Foreman,2010-12-19,23-213,TOR,HOME,LAL,L (-10),0,13:18,3,3,1.000,0,0,,0,0,,3,0,3,0,0,0,1,2,6,5.4,+5
Justin Wright-Foreman,2010-12-22,23-216,TOR,HOME,DET,L (-22),0,16:32,3,4,.750,0,0,,0,0,,1,5,6,2,0,0,1,0,6,7.0,0
Justin Wright-Foreman,2010-12-27,23-221,TOR,AWAY,MEM,L (-11),0,0:49,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
Justin Wright-Foreman,2010-12-28,23-222,TOR,AWAY,DAL,W (+8),0,25:33,0,2,.000,0,0,,0,0,,0,4,4,4,0,0,1,0,0,1.6,+2
Justin Wright-Foreman,2010-12-31,23-225,TOR,AWAY,HOU,L (-9),0,11:49,2,5,.400,0,0,,0,0,,0,2,2,1,0,0,1,1,4,1.2,-5
Justin Wright-Foreman,2011-01-02,23-227,TOR,HOME,BOS,L (-14),0,7:05,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0.6,-3
Justin Wright-Foreman,2011-01-04,23-229,TOR,AWAY,CHI,L (-20),0,14:12,0,1,.000,0,0,,1,2,.500,1,1,2,1,0,0,2,1,1,-0.8,-15
Justin Wright-Foreman,2011-01-05,23-230,TOR,AWAY,CLE,W (+15),0,31:15,7,9,.778,0,0,,1,1,1.000,5,4,9,5,1,0,0,2,15,19.9,+32
Justin Wright-Foreman,2011-01-07,23-232,TOR,AWAY,BOS,L (-20),0,12:45,0,2,.000,0,0,,0,0,,2,0,2,1,2,1,0,0,0,3.4,+4
Justin Wright-Foreman,2011-01-09,23-234,TOR,HOME,SAC,W (+6),0,4:41,0,0,,0,0,,0,0,,0,0,0,0,1,0,2,1,0,-1.4,-3
Justin Wright-Foreman,2011-01-14,23-239,TOR,HOME,DET,L (-6),0,20:05,3,4,.750,0,0,,1,2,.500,0,2,2,3,0,0,1,1,7,6.3,+7
Justin Wright-Foreman,2011-01-15,23-240,TOR,AWAY,WAS,L (-3),0,25:18,1,4,.250,0,0,,0,0,,1,2,3,2,1,1,1,2,2,2.2,-8
Justin Wright-Foreman,2011-01-17,23-242,TOR,AWAY,NOH,L (-4),1,27:58,5,8,.625,0,0,,1,3,.333,1,5,6,0,1,0,1,1,11,8.4,-3
Justin Wright-Foreman,2011-01-19,23-244,TOR,AWAY,SAS,L (-9),1,28:31,1,4,.250,0,0,,2,4,.500,3,3,6,4,2,1,1,0,4,8.3,-16
Justin Wright-Foreman,2011-01-21,23-246,TOR,AWAY,ORL,L (-40),0,26:32,3,7,.429,0,0,,0,0,,5,5,10,2,2,0,3,0,6,7.7,-22
Justin Wright-Foreman,2011-01-22,23-247,TOR,AWAY,MIA,L (-17),1,27:36,2,7,.286,0,0,,0,0,,1,0,1,1,2,1,1,2,4,2.2,-14
Justin Wright-Foreman,2011-01-24,23-249,TOR,HOME,MEM,L (-2),1,40:43,5,7,.714,0,0,,1,4,.250,3,6,9,1,0,2,1,2,11,11.1,+6
Justin Wright-Foreman,2011-01-26,23-251,TOR,HOME,PHI,L (-13),1,26:01,4,11,.364,0,0,,0,0,,2,0,2,2,4,0,3,1,8,5.3,+3
Justin Wright-Foreman,2011-01-28,23-253,TOR,HOME,MIL,L (-6),1,12:29,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,0,1,4,3.6,-16
Justin Wright-Foreman,2011-01-29,23-254,TOR,AWAY,MIN,L (-16),0,7:40,2,3,.667,0,0,,1,2,.500,3,1,4,0,0,0,0,0,5,5.7,+11
