PLAYER,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
Shake Milton,2021-05-23,24-239,PHI,HOME,WAS,W (+7),0,9:39,1,3,0.333,1,2,0.5,2,2,1.0,0,1,1,1,0,0,1,0,5,3.3,-14
Shake Milton,2021-05-26,24-242,PHI,HOME,WAS,W (+25),0,13:30,0,6,0.0,0,1,0.0,0,0,,0,0,0,3,1,1,2,1,0,-2.8,0
Shake Milton,2021-05-29,24-245,PHI,AWAY,WAS,W (+29),0,10:30,1,3,0.333,0,1,0.0,2,2,1.0,0,0,0,0,1,0,4,3,4,-1.9,-2
Shake Milton,2021-05-31,24-247,PHI,AWAY,WAS,L (-8),0,7:03,2,6,0.333,0,1,0.0,2,2,1.0,0,0,0,0,0,0,0,1,6,2.2,-4
Shake Milton,2021-06-02,24-249,PHI,HOME,WAS,W (+17),0,6:46,0,1,0.0,0,0,,2,2,1.0,0,0,0,0,0,0,0,1,2,0.9,-1
Shake Milton,2021-06-06,24-253,PHI,HOME,ATL,L (-4),0,0:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-2
Shake Milton,2021-06-08,24-255,PHI,HOME,ATL,W (+16),0,14:15,5,8,0.625,4,5,0.8,0,0,,0,3,3,1,0,0,0,3,14,10.8,15
Shake Milton,2021-06-11,24-258,PHI,AWAY,ATL,W (+16),0,21:01,2,3,0.667,1,2,0.5,1,2,0.5,0,2,2,1,0,0,1,2,6,3.8,1
Shake Milton,2021-06-14,24-261,PHI,AWAY,ATL,L (-3),0,15:11,2,7,0.286,1,2,0.5,3,3,1.0,0,0,0,3,0,0,1,1,8,4.6,-5
Shake Milton,2021-06-16,24-263,PHI,HOME,ATL,L (-3),0,12:36,1,5,0.2,1,2,0.5,2,2,1.0,0,2,2,0,0,0,1,3,5,0.3,-8
Shake Milton,2021-06-18,24-265,PHI,AWAY,ATL,W (+5),0,4:19,0,2,0.0,0,2,0.0,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-1
Shake Milton,2021-06-20,24-267,PHI,HOME,ATL,L (-7),0,5:21,1,3,0.333,0,1,0.0,0,0,,0,1,1,0,1,0,0,3,2,0.4,6
Shake Milton,2022-04-16,25-202,PHI,HOME,TOR,W (+20),0,14:08,3,4,0.75,1,1,1.0,3,3,1.0,0,1,1,2,1,0,0,0,10,11.1,2
Shake Milton,2022-04-18,25-204,PHI,HOME,TOR,W (+15),0,13:38,1,3,0.333,1,2,0.5,0,0,,0,2,2,0,0,1,0,0,3,2.6,-9
Shake Milton,2022-04-20,25-206,PHI,AWAY,TOR,W (+3),0,10:55,0,0,,0,0,,2,2,1.0,0,1,1,1,0,0,0,1,2,2.6,-7
Shake Milton,2022-04-23,25-209,PHI,AWAY,TOR,L (-8),0,15:28,2,3,0.667,1,1,1.0,2,2,1.0,0,1,1,0,0,0,0,1,7,5.6,5
Shake Milton,2022-04-25,25-211,PHI,HOME,TOR,L (-15),0,10:15,0,1,0.0,0,1,0.0,0,0,,1,0,1,2,1,0,1,2,0,0.6,1
Shake Milton,2022-04-28,25-214,PHI,AWAY,TOR,W (+35),0,7:40,1,2,0.5,0,1,0.0,0,0,,0,1,1,0,0,1,0,1,2,1.6,-3
Shake Milton,2022-05-02,25-218,PHI,AWAY,MIA,L (-14),0,15:03,1,3,0.333,0,1,0.0,2,2,1.0,0,1,1,1,0,0,1,1,4,1.9,7
Shake Milton,2022-05-04,25-220,PHI,AWAY,MIA,L (-16),0,1:23,0,1,0.0,0,0,,2,2,1.0,0,0,0,0,0,0,1,0,2,0.3,-3
Shake Milton,2022-05-06,25-222,PHI,HOME,MIA,W (+20),0,8:35,1,4,0.25,1,3,0.333,1,2,0.5,2,0,2,0,0,0,0,1,4,2.2,15
Shake Milton,2022-05-08,25-224,PHI,HOME,MIA,W (+8),0,13:17,1,1,1.0,0,0,,0,2,0.0,0,2,2,1,0,0,0,1,2,1.8,-3
Shake Milton,2022-05-10,25-226,PHI,AWAY,MIA,L (-35),0,19:37,2,8,0.25,1,1,1.0,4,4,1.0,1,3,4,1,2,0,2,4,9,4.9,-3
Shake Milton,2022-05-12,25-228,PHI,HOME,MIA,L (-9),0,28:23,6,8,0.75,3,4,0.75,0,1,0.0,0,3,3,3,2,1,0,1,15,16.7,6
Shake Milton,2023-04-15,26-201,PHI,HOME,BRK,W (+20),0,3:15,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,0,2,2.7,-3
Shake Milton,2023-04-22,26-208,PHI,AWAY,BRK,W (+8),0,4:05,0,1,.000,0,0,,2,2,1.000,0,2,2,0,0,0,0,3,2,0.7,-1
Shake Milton,2023-05-03,26-219,PHI,AWAY,BOS,L (-34),0,8:36,2,2,1.000,0,0,,0,0,,0,1,1,2,1,0,0,0,4,6.1,-5
Shake Milton,2023-05-09,26-225,PHI,AWAY,BOS,W (+12),0,0:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-3
Shake Milton,2023-05-11,26-227,PHI,HOME,BOS,L (-9),0,0:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
Shake Milton,2023-05-14,26-230,PHI,AWAY,BOS,L (-24),0,3:52,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+6
Shake Milton,2020-08-17,23-326,PHI,AWAY,BOS,L (-8),1,25:41,5,7,0.714,3,5,0.6,0,0,,0,0,0,3,0,0,3,2,13,8.4,-7
Shake Milton,2020-08-19,23-328,PHI,AWAY,BOS,L (-27),1,29:18,5,8,0.625,2,5,0.4,2,3,0.667,0,3,3,4,0,0,1,3,14,11.5,-3
Shake Milton,2020-08-21,23-330,PHI,HOME,BOS,L (-8),1,37:38,6,18,0.333,3,9,0.333,2,2,1.0,1,5,6,3,1,0,2,3,17,8.9,-7
Shake Milton,2020-08-23,23-332,PHI,HOME,BOS,L (-4),1,33:18,5,11,0.455,2,6,0.333,2,2,1.0,0,4,4,1,1,0,0,5,14,9.2,-2
Bruce Brown,2021-05-22,24-280,BRK,HOME,BOS,W (+11),0,18:04,1,4,0.25,0,0,,0,0,,3,2,5,0,0,1,0,2,2,2.2,6
Bruce Brown,2021-05-25,24-283,BRK,HOME,BOS,W (+22),0,21:36,1,2,0.5,0,1,0.0,4,4,1.0,2,6,8,3,0,0,2,3,6,7.1,-11
Bruce Brown,2021-05-28,24-286,BRK,AWAY,BOS,L (-6),0,14:33,0,2,0.0,0,0,,2,2,1.0,1,2,3,2,0,0,0,3,2,2.1,1
Bruce Brown,2021-05-30,24-288,BRK,AWAY,BOS,W (+15),0,23:42,6,10,0.6,0,0,,2,2,1.0,2,5,7,1,0,1,0,5,14,11.7,-4
Bruce Brown,2021-06-01,24-290,BRK,HOME,BOS,W (+14),0,23:53,4,8,0.5,0,1,0.0,2,2,1.0,2,3,5,3,4,0,2,1,10,12.0,5
Bruce Brown,2021-06-05,24-294,BRK,HOME,MIL,W (+8),0,21:20,2,5,0.4,0,1,0.0,2,2,1.0,0,4,4,3,1,2,0,3,6,7.8,3
Bruce Brown,2021-06-07,24-296,BRK,HOME,MIL,W (+39),1,25:41,6,10,0.6,1,2,0.5,0,0,,3,3,6,4,0,0,0,2,13,13.4,7
Bruce Brown,2021-06-10,24-299,BRK,AWAY,MIL,L (-3),1,37:48,8,17,0.471,0,2,0.0,0,0,,3,8,11,3,0,0,1,5,16,10.9,3
