PLAYER,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
Justin Wright-Foreman,2009-04-19,21-334,NOH,AWAY,DEN,L (-29),0,8:43,1,3,.333,0,0,,0,0,,0,1,1,1,0,1,0,1,2,1.6,-3
Justin Wright-Foreman,2009-04-22,21-337,NOH,AWAY,DEN,L (-15),0,7:34,1,2,.500,0,0,,0,0,,0,2,2,1,0,0,0,3,2,1.1,-2
Justin Wright-Foreman,2009-04-27,21-342,NOH,HOME,DEN,L (-58),0,12:00,1,1,1.000,0,0,,2,4,.500,0,3,3,0,0,0,1,1,4,2.4,-20
Justin Wright-Foreman,2009-04-29,21-344,NOH,AWAY,DEN,L (-21),0,3:57,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-2
Justin Wright-Foreman,2008-04-19,20-335,NOH,HOME,DAL,W (+12),0,7:20,0,3,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,1,0,-1.8,-4
Justin Wright-Foreman,2008-04-22,20-338,NOH,HOME,DAL,W (+24),0,9:35,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,0,2,0.6,0
Justin Wright-Foreman,2008-04-25,20-341,NOH,AWAY,DAL,L (-10),0,9:10,1,1,1.000,0,0,,0,0,,1,0,1,1,0,1,0,1,2,3.4,+5
Justin Wright-Foreman,2008-04-27,20-343,NOH,AWAY,DAL,W (+13),0,18:42,5,6,.833,0,1,.000,1,2,.500,0,2,2,0,2,0,1,1,11,9.6,+12
Justin Wright-Foreman,2008-04-29,20-345,NOH,HOME,DAL,W (+5),0,12:39,2,4,.500,0,1,.000,2,2,1.000,0,1,1,1,3,0,1,3,6,5.8,-4
Justin Wright-Foreman,2008-05-03,20-349,NOH,HOME,SAS,W (+19),0,9:18,1,2,.500,0,0,,0,0,,1,1,2,0,1,0,0,0,2,3.0,+3
Justin Wright-Foreman,2008-05-05,20-351,NOH,HOME,SAS,W (+18),0,12:22,2,7,.286,2,4,.500,0,0,,0,3,3,1,1,0,1,2,6,2.7,-6
Justin Wright-Foreman,2008-05-08,20-354,NOH,AWAY,SAS,L (-11),0,15:26,2,4,.500,0,1,.000,2,2,1.000,1,0,1,0,1,0,0,0,6,5.7,-6
Justin Wright-Foreman,2008-05-11,20-357,NOH,AWAY,SAS,L (-20),0,18:49,2,4,.500,0,0,,0,0,,2,2,4,1,1,0,2,0,4,3.7,-11
Justin Wright-Foreman,2008-05-13,20-359,NOH,HOME,SAS,W (+22),0,5:43,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4,+1
Justin Wright-Foreman,2008-05-15,20-361,NOH,AWAY,SAS,L (-19),0,12:07,4,8,.500,0,1,.000,0,0,,0,2,2,1,1,0,0,0,8,6.3,+3
Mamadi Diakite,2021-05-24,24-123,MIL,HOME,MIA,W (+34),0,6:55,0,1,.000,0,0,,0,0,,1,1,2,0,0,1,0,2,0,0.2,+3
Mamadi Diakite,2021-05-27,24-126,MIL,AWAY,MIA,W (+29),0,4:13,0,2,.000,0,0,,2,2,1.000,0,0,0,0,2,0,0,0,2,2.6,-1
Mamadi Diakite,2021-05-29,24-128,MIL,AWAY,MIA,W (+17),0,1:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
Mamadi Diakite,2021-06-07,24-137,MIL,AWAY,BRK,L (-39),0,5:12,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,2,0,-0.9,+2
