SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PLAYER
2020-21,24.0,LAC,NBA,SG,63.0,17.0,1232.0,7.9,16.6,0.476,4.0,9.0,0.446,3.9,7.6,0.511,1.0,1.2,0.839,0.6,5.9,6.5,4.2,0.9,0.4,1.9,3.7,20.9,117.0,114.0,Luke Kennard
2021-22,25.0,LAC,NBA,SG,70.0,13.0,1919.0,7.3,16.3,0.449,4.9,10.8,0.449,2.5,5.5,0.449,1.8,2.0,0.896,0.5,5.3,5.8,3.7,1.1,0.2,1.5,2.6,21.3,119.0,113.0,Luke Kennard
2022-23,26.0,TOT,NBA,SG,59.0,14.0,1315.0,6.9,14.0,0.492,4.9,9.9,0.494,2.0,4.2,0.487,1.4,1.4,0.949,0.6,5.3,5.8,3.3,1.2,0.2,1.7,3.0,20.1,128.0,116.0,Luke Kennard
2022-23,26.0,LAC,NBA,SG,35.0,11.0,725.0,6.6,14.3,0.464,4.0,8.9,0.447,2.6,5.3,0.494,1.3,1.4,0.95,0.4,5.2,5.6,2.5,1.3,0.3,2.0,3.2,18.5,114.0,117.0,Luke Kennard
2022-23,26.0,MEM,NBA,SG,24.0,3.0,590.0,7.2,13.8,0.526,6.0,11.0,0.54,1.3,2.7,0.471,1.4,1.5,0.947,0.7,5.3,6.0,4.3,1.0,0.1,1.3,2.8,21.9,146.0,115.0,Luke Kennard
2019-20,20.0,DET,NBA,SF,10.0,0.0,62.0,6.3,16.7,0.381,3.2,8.7,0.364,3.2,7.9,0.4,0.0,2.4,0.0,0.8,7.1,7.9,4.0,1.6,0.0,1.6,7.9,15.9,93.0,113.0,Louis King
2020-21,21.0,SAC,NBA,SF,6.0,1.0,85.0,9.6,19.2,0.5,2.3,6.2,0.364,7.3,13.0,0.565,3.4,3.4,1.0,2.8,7.3,10.2,5.1,4.0,1.7,2.3,5.1,24.8,121.0,110.0,Louis King
2021-22,22.0,SAC,NBA,SF,10.0,0.0,104.0,6.9,21.7,0.319,3.7,12.5,0.296,3.2,9.3,0.35,3.2,4.6,0.7,0.0,5.6,5.6,4.2,0.9,0.5,0.0,6.5,20.8,100.0,118.0,Louis King
2022-23,23.0,PHI,NBA,PF,1.0,0.0,29.0,13.7,22.2,0.615,6.8,13.7,0.5,6.8,8.5,0.8,0.0,1.7,0.0,3.4,3.4,6.8,3.4,1.7,0.0,3.4,6.8,34.2,125.0,116.0,Louis King
2011-12,20.0,DET,NBA,PG,66.0,60.0,2129.0,8.1,19.4,0.415,2.7,7.0,0.38,5.4,12.5,0.434,2.6,3.5,0.759,0.8,4.5,5.3,6.3,1.2,0.3,4.3,3.9,21.4,97.0,109.0,Brandon Knight
2012-13,21.0,DET,NBA,PG,75.0,75.0,2365.0,8.0,19.6,0.407,2.7,7.3,0.367,5.3,12.3,0.43,3.7,5.0,0.733,1.2,4.3,5.5,6.8,1.3,0.2,4.6,3.5,22.3,98.0,111.0,Brandon Knight
2013-14,22.0,MIL,NBA,PG,72.0,69.0,2400.0,10.0,23.8,0.422,2.4,7.4,0.325,7.6,16.4,0.466,5.6,7.0,0.802,1.0,4.6,5.6,7.7,1.5,0.4,4.1,3.2,28.1,104.0,114.0,Brandon Knight
2014-15,23.0,TOT,NBA,"PG,SG",63.0,61.0,2035.0,9.4,22.2,0.422,3.1,8.0,0.389,6.2,14.2,0.441,4.9,5.6,0.874,0.7,5.4,6.1,8.2,2.2,0.2,4.7,2.8,26.7,103.0,104.0,Brandon Knight
2014-15,23.0,MIL,NBA,PG,52.0,52.0,1688.0,9.8,22.5,0.435,3.1,7.7,0.409,6.6,14.8,0.448,5.2,5.9,0.881,0.8,5.9,6.7,8.5,2.5,0.3,5.0,2.8,27.9,105.0,103.0,Brandon Knight
2014-15,23.0,PHO,NBA,SG,11.0,9.0,347.0,7.3,20.5,0.357,3.0,9.6,0.313,4.3,10.9,0.395,3.4,4.2,0.828,0.3,3.0,3.3,7.0,0.9,0.1,3.3,3.0,21.1,97.0,112.0,Brandon Knight
2015-16,24.0,PHO,NBA,SG,52.0,50.0,1870.0,9.7,23.3,0.415,3.1,9.1,0.342,6.5,14.2,0.461,4.1,4.8,0.852,0.9,4.3,5.3,6.9,1.6,0.5,4.6,3.2,26.5,100.0,111.0,Brandon Knight
2016-17,25.0,PHO,NBA,SG,54.0,5.0,1140.0,8.8,22.0,0.398,1.9,5.8,0.324,6.9,16.2,0.425,5.5,6.5,0.857,1.0,3.9,5.0,5.5,1.1,0.2,3.7,3.7,25.0,101.0,116.0,Brandon Knight
2018-19,27.0,TOT,NBA,PG,39.0,26.0,736.0,6.7,17.5,0.381,2.8,8.7,0.318,3.9,8.8,0.443,1.8,2.3,0.794,0.7,3.3,4.0,4.8,1.4,0.1,2.0,4.2,17.9,101.0,119.0,Brandon Knight
2018-19,27.0,HOU,NBA,PG,12.0,0.0,118.0,4.6,19.5,0.234,2.1,13.3,0.156,2.5,6.2,0.4,3.7,4.6,0.818,0.4,3.3,3.7,3.7,0.8,0.0,2.1,5.8,15.0,78.0,116.0,Brandon Knight
2018-19,27.0,CLE,NBA,PG,27.0,26.0,618.0,7.1,17.1,0.413,2.9,7.8,0.371,4.2,9.3,0.448,1.4,1.8,0.783,0.7,3.3,4.0,5.0,1.5,0.2,2.0,3.9,18.5,106.0,119.0,Brandon Knight
