PLAYER,BIRTH_DATE
Benoit Benjamin,1964-11-22
Earl Boykins,1976-06-02
A.J. Bramlett,1977-01-10
Mark Bryant,1965-04-25
Pete Chilcutt,1968-09-14
Kornél Dávid,1971-10-22
Andrew DeClercq,1973-02-01
Danny Ferry,1966-10-17
Cedric Henderson,1975-03-11
Mark Hendrickson,1974-06-23
Shawn Kemp,1969-11-26
Lari Ketner,1977-02-01
Brevin Knight,1975-11-08
Trajan Langdon,1976-05-13
Donny Marshall,1972-07-17
Andre Miller,1976-03-19
Lamond Murray,1973-04-20
Wesley Person,1971-03-28
Ryan Stack,1975-07-24
Bob Sura,1973-03-25
