PLAYER,BIRTH_DATE
Tariq Abdul-Wahad,1974-11-03
John Amaechi,1970-11-26
Darrell Armstrong,1968-06-22
Chucky Atkins,1974-08-14
Earl Boykins,1976-06-02
Michael Doleac,1977-06-15
Kiwane Lemorris Garris,1974-09-24
Pat Garrity,1976-08-23
Chris Gatling,1967-09-03
Matt Harpring,1976-05-31
Anthony Johnson,1974-10-02
Corey Maggette,1979-11-12
Ron Mercer,1976-05-18
Bo Outlaw,1971-04-13
Anthony Parker,1975-06-19
Derek Strong,1968-02-09
Johnny Taylor,1974-06-04
Ben Wallace,1974-09-10
Monty Williams,1971-10-08
