PLAYER,BIRTH_DATE
Kelenna Azubuike,1983-12-16
Matt Barnes,1980-03-09
Andris Biedriņš,1986-04-02
Baron Davis,1979-04-13
Ike Diogu,1983-09-11
Mike Dunleavy,1980-09-15
Monta Ellis,1985-10-26
Adonal Foyle,1975-03-09
Al Harrington,1980-02-17
Stephen Jackson,1978-04-05
Šarūnas Jasikevičius,1976-03-05
Renaldo Major,1982-05-07
Keith McLeod,1979-11-05
Troy Murphy,1980-05-02
Patrick O'Bryant,1986-06-20
Mickaël Piétrus,1982-02-07
Josh Powell,1983-01-25
Jason Richardson,1981-01-20
Anthony Roberson,1983-02-14
Dajuan Wagner,1983-02-04
