PLAYER,BIRTH_DATE
Quincy Acy,1990-10-06
DeMarcus Cousins,1990-08-13
Jared Cunningham,1991-05-22
Reggie Evans,1980-05-18
Jimmer Fredette,1989-02-25
Rudy Gay,1986-08-17
Aaron Gray,1984-12-07
Chuck Hayes,1983-06-11
Orlando Johnson,1989-03-11
Carl Landry,1983-09-19
Luc Mbah a Moute,1986-09-09
Ray McCallum,1991-06-12
Ben McLemore,1993-02-11
Hamady N'Diaye,1987-01-12
Travis Outlaw,1984-09-18
Patrick Patterson,1989-03-14
John Salmons,1979-12-12
Isaiah Thomas,1989-02-07
Jason Thompson,1986-07-21
Marcus Thornton,1987-06-05
Greivis Vásquez,1987-01-16
Royce White,1991-04-10
Derrick Williams,1991-05-25
