PLAYER,BIRTH_DATE
Quincy Acy,1990-10-06
D.J. Augustin,1987-11-10
Dwight Buycks,1989-03-06
Austin Daye,1988-06-05
Nando De Colo,1987-06-23
DeMar DeRozan,1989-08-07
Landry Fields,1988-06-27
Rudy Gay,1986-08-17
Aaron Gray,1984-12-07
Tyler Hansbrough,1985-11-03
Chuck Hayes,1983-06-11
Amir Johnson,1987-05-01
Kyle Lowry,1986-03-25
Steve Novak,1983-06-13
Patrick Patterson,1989-03-14
Terrence Ross,1991-02-05
John Salmons,1979-12-12
Julyan Stone,1988-12-07
Jonas Valančiūnas,1992-05-06
Greivis Vásquez,1987-01-16
