PLAYER,BIRTH_DATE
Alan Anderson,1982-10-16
Andray Blatche,1986-08-22
Jason Collins,1978-12-02
Reggie Evans,1980-05-18
Kevin Garnett,1976-05-19
Jorge Gutiérrez,1988-12-27
Joe Johnson,1981-06-29
Andrei Kirilenko,1981-02-18
Shaun Livingston,1985-09-11
Brook Lopez,1988-04-01
Paul Pierce,1977-10-13
Mason Plumlee,1990-03-05
Tornike Shengelia,1991-10-05
Tyshawn Taylor,1990-04-12
Marquis Teague,1993-02-28
Mirza Teletović,1985-09-18
Jason Terry,1977-09-15
Marcus Thornton,1987-06-05
Deron Williams,1984-06-26
