# Dunks,# Heaves,% of FGA 0-3,% of FGA 10-16,% of FGA 16-3P,% of FGA 2P,% of FGA 3-10,% of FGA 3P,%3PA Corner 3s,%FGA Dunks,0-3 FG%,10-16 FG%,16-3P FG%,2P % AST,2P FG%,3-10 FG%,3P % AST,3P FG%,3P% Corner 3s,AGE,Att. Heaves,Dist.,FG%,G,LEAGUE,MP,POS,SEASON,TEAM,PLAYER
9.0,0.0,0.33,0.085,0.163,0.646,0.068,0.354,0.164,0.027,0.522,0.343,0.313,0.42,0.421,0.286,0.816,0.336,0.292,22.0,1.0,13.8,0.391,65.0,NBA,1192.0,PG,2008-09,LAL,Jordan Farmar
10.0,0.0,0.26,0.089,0.159,0.555,0.047,0.445,0.188,0.021,0.59,0.304,0.415,0.486,0.483,0.458,0.756,0.376,0.419,23.0,1.0,15.9,0.435,82.0,NBA,1474.0,PG,2009-10,LAL,Jordan Farmar
4.0,0.0,0.22,0.046,0.151,0.533,0.117,0.467,0.207,0.009,0.601,0.267,0.327,0.199,0.421,0.263,0.615,0.359,0.365,24.0,1.0,16.2,0.392,73.0,NBA,1796.0,PG,2010-11,NJN,Jordan Farmar
4.0,0.0,0.248,0.057,0.21,0.603,0.089,0.397,0.168,0.013,0.628,0.278,0.379,0.37,0.484,0.464,0.836,0.44,0.571,25.0,0.0,15.6,0.467,39.0,NBA,831.0,PG,2011-12,NJN,Jordan Farmar
2.0,0.0,0.212,0.082,0.176,0.56,0.091,0.44,0.188,0.005,0.455,0.267,0.438,0.259,0.397,0.303,0.643,0.438,0.5,27.0,0.0,16.6,0.415,41.0,NBA,912.0,PG,2013-14,LAL,Jordan Farmar
0.0,0.0,0.108,0.051,0.196,0.386,0.032,0.614,0.206,0.0,0.588,0.375,0.387,0.269,0.426,0.2,0.714,0.361,0.35,28.0,0.0,19.8,0.386,36.0,NBA,529.0,PG,2014-15,LAC,Jordan Farmar
0.0,0.0,0.2,0.09,0.16,0.55,0.1,0.45,0.244,0.0,0.55,0.333,0.563,0.192,0.473,0.3,0.438,0.356,0.364,29.0,0.0,15.8,0.42,12.0,NBA,291.0,PG,2015-16,MEM,Jordan Farmar
0.0,0.0,0.167,0.0,0.0,0.25,0.083,0.75,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.444,0.0,30.0,0.0,21.5,0.333,2.0,NBA,35.0,PG,2016-17,SAC,Jordan Farmar
7.0,1.0,0.119,0.13,0.3,0.727,0.178,0.273,0.147,0.007,0.518,0.374,0.353,0.496,0.391,0.381,0.851,0.337,0.395,22.0,1.0,15.7,0.376,78.0,NBA,2326.0,PF,2006-07,CHA,Adam Morrison
1.0,0.0,0.072,0.121,0.296,0.57,0.081,0.43,0.302,0.004,0.375,0.519,0.333,0.521,0.378,0.333,0.938,0.333,0.448,24.0,0.0,18.7,0.359,52.0,NBA,711.0,SF,2008-09,TOT,Adam Morrison
0.0,0.0,0.066,0.123,0.289,0.564,0.085,0.436,0.304,0.0,0.286,0.5,0.361,0.511,0.378,0.333,0.935,0.337,0.429,24.0,0.0,18.7,0.36,44.0,NBA,667.0,SF,2008-09,CHA,Adam Morrison
1.0,0.0,0.167,0.083,0.417,0.667,0.0,0.333,0.25,0.083,1.0,1.0,0.0,0.667,0.375,0.0,1.0,0.25,1.0,24.0,0.0,17.9,0.333,8.0,NBA,44.0,SF,2008-09,LAL,Adam Morrison
0.0,0.0,0.118,0.165,0.271,0.753,0.2,0.247,0.381,0.0,0.6,0.214,0.391,0.704,0.422,0.529,0.6,0.238,0.125,25.0,0.0,14.9,0.376,31.0,NBA,241.0,SF,2009-10,LAL,Adam Morrison
5.0,0.0,0.358,0.099,0.272,1.0,0.272,0.0,0.0,0.062,0.586,0.5,0.409,0.649,0.457,0.318,0.0,0.0,0.0,23.0,0.0,8.2,0.457,37.0,NBA,429.0,PF,2005-06,DAL,Josh Powell
3.0,0.0,0.333,0.151,0.344,1.0,0.172,0.0,0.0,0.032,0.581,0.5,0.281,0.674,0.462,0.563,0.0,0.0,0.0,24.0,0.0,9.6,0.462,37.0,NBA,353.0,PF,2006-07,TOT,Josh Powell
0.0,0.0,0.4,0.067,0.467,1.0,0.067,0.0,0.0,0.0,0.333,0.0,0.0,0.5,0.133,0.0,0.0,0.0,0.0,24.0,0.0,10.2,0.133,7.0,NBA,64.0,PF,2006-07,IND,Josh Powell
3.0,0.0,0.321,0.167,0.321,1.0,0.192,0.0,0.0,0.038,0.64,0.538,0.36,0.683,0.526,0.6,0.0,0.0,0.0,24.0,0.0,9.5,0.526,30.0,NBA,289.0,PF,2006-07,GSW,Josh Powell
20.0,0.0,0.441,0.206,0.194,0.99,0.149,0.01,0.0,0.07,0.561,0.4,0.377,0.683,0.465,0.383,0.0,0.0,0.0,25.0,0.0,7.6,0.46,64.0,NBA,1228.0,C,2007-08,LAC,Josh Powell
17.0,0.0,0.368,0.184,0.285,1.0,0.163,0.0,0.0,0.079,0.557,0.523,0.382,0.736,0.444,0.205,0.0,0.0,0.0,26.0,0.0,9.0,0.444,60.0,NBA,703.0,PF,2008-09,LAL,Josh Powell
12.0,0.0,0.314,0.16,0.299,0.918,0.144,0.082,0.563,0.072,0.492,0.258,0.293,0.641,0.36,0.321,1.0,0.438,0.667,27.0,0.0,10.8,0.366,63.0,NBA,581.0,PF,2009-10,LAL,Josh Powell
10.0,0.0,0.284,0.183,0.361,0.995,0.168,0.005,1.0,0.053,0.525,0.421,0.427,0.66,0.454,0.429,0.0,0.0,0.0,28.0,0.0,10.8,0.452,54.0,NBA,653.0,PF,2010-11,ATL,Josh Powell
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333,0.333,0.0,0.0,0.0,31.0,0.0,8.0,0.333,1.0,NBA,19.0,PF,2013-14,HOU,Josh Powell
0.0,0.0,0.091,0.182,0.182,0.455,0.0,0.545,0.167,0.0,1.0,1.0,0.0,1.0,0.6,0.0,0.0,0.0,0.0,23.0,0.0,20.1,0.273,10.0,NBA,28.0,SG,2008-09,LAL,Sun Yue
