PLAYER,BIRTH_DATE
Justin Anderson,1993-11-19
Goga Bitadze,1999-07-20
Oshae Brissett,1998-06-20
Malcolm Brogdon,1992-12-11
Ahmad Caver,1996-09-12
Torrey Craig,1990-12-19
Chris Duarte,1997-06-13
Tyrese Haliburton,2000-02-29
Buddy Hield,1992-12-17
Nate Hinton,1999-06-08
Justin Holiday,1989-04-05
Isaiah Jackson,2002-01-10
DeJon Jarreau,1998-01-23
Jeremy Lamb,1992-05-30
Caris LeVert,1994-08-25
Kelan Martin,1995-08-03
T.J. McConnell,1992-03-25
Reggie Perry,2000-03-21
Domantas Sabonis,1996-05-03
Jalen Smith,2000-03-16
Lance Stephenson,1990-09-05
Keifer Sykes,1993-12-30
Terry Taylor,1999-09-23
Tristan Thompson,1991-03-13
Myles Turner,1996-03-24
Brad Wanamaker,1989-07-25
Duane Washington Jr.,2000-03-24
Gabe York,1993-08-02
