PLAYER,BIRTH_DATE
Jaylen Brown,1996-10-24
Bruno Fernando,1998-08-15
Malik Fitts,1997-07-04
Enes Freedom,1992-05-20
Sam Hauser,1997-12-08
Juancho Hernangómez,1995-09-28
Al Horford,1986-06-03
Justin Jackson,1995-03-28
Joe Johnson,1981-06-29
Luke Kornet,1995-07-15
Romeo Langford,1999-10-25
Kelan Martin,1995-08-03
C.J. Miles,1987-03-18
Juwan Morgan,1997-04-17
Aaron Nesmith,1999-10-16
Jabari Parker,1995-03-15
Payton Pritchard,1998-01-28
Josh Richardson,1993-09-15
Matt Ryan,1997-04-17
Dennis Schröder,1993-09-15
Marcus Smart,1994-03-06
Nik Stauskas,1993-10-07
Jayson Tatum,1998-03-03
Daniel Theis,1992-04-04
Brodric Thomas,1997-01-28
Derrick White,1994-07-02
Grant Williams,1998-11-30
Robert Williams,1997-10-17
