PLAYER,BIRTH_DATE
Grayson Allen,1995-10-08
Giannis Antetokounmpo,1994-12-06
Thanasis Antetokounmpo,1992-07-18
DeAndre' Bembry,1994-07-04
Jevon Carter,1995-09-14
Pat Connaughton,1993-01-06
DeMarcus Cousins,1990-08-13
Javin DeLaurier,1998-04-07
Donte DiVincenzo,1997-01-31
Jeff Dowtin,1997-05-10
Langston Galloway,1991-12-09
George Hill,1986-05-04
Jrue Holiday,1990-06-12
Rodney Hood,1992-10-20
Serge Ibaka,1989-09-18
Georgios Kalaitzakis,1999-01-02
Luke Kornet,1995-07-15
Brook Lopez,1988-04-01
Sandro Mamukelashvili,1999-05-23
Wesley Matthews,1986-10-14
Khris Middleton,1991-08-12
Greg Monroe,1990-06-04
Jordan Nwora,1998-09-09
Semi Ojeleye,1994-12-05
Bobby Portis,1995-02-10
Justin Robinson,1997-10-12
Javonte Smart,1999-06-03
Rayjon Tucker,1997-09-24
Luca Vildoza,1995-08-11
Lindell Wigginton,1998-03-28
