PLAYER,BIRTH_DATE
Ryan Arcidiacono,1994-03-26
RJ Barrett,2000-06-14
Alec Burks,1991-07-20
Damyean Dotson,1994-05-06
Evan Fournier,1992-10-29
Taj Gibson,1985-06-24
Quentin Grimes,2000-05-08
Tyler Hall,1997-03-25
Danuel House Jr.,1993-06-07
Feron Hunt,1999-07-05
Kevin Knox,1999-08-11
Miles McBride,2000-09-08
Matt Mooney,1997-02-07
Nerlens Noel,1994-04-10
Immanuel Quickley,1999-06-17
Julius Randle,1994-11-29
Cam Reddish,1999-09-01
Mitchell Robinson,1998-04-01
Derrick Rose,1988-10-04
Wayne Selden,1994-09-30
Jericho Sims,1998-10-20
Obi Toppin,1998-03-04
Kemba Walker,1990-05-08
