PLAYER,BIRTH_DATE
Cole Anthony,2000-05-15
Mo Bamba,1998-05-12
Ignas Brazdeikis,1999-01-08
Devin Cannady,1996-05-21
Wendell Carter Jr.,1999-04-16
Jeff Dowtin,1997-05-10
Aleem Ford,1997-12-22
Tim Frazier,1990-11-01
Markelle Fultz,1998-05-29
Freddie Gillespie,1997-06-14
Hassani Gravett,1996-07-16
R.J. Hampton,2001-02-07
Gary Harris,1994-09-14
B.J. Johnson,1995-12-21
Robin Lopez,1988-04-01
Mychal Mulder,1994-06-12
Chuma Okeke,1998-08-18
Terrence Ross,1991-02-05
Admiral Schofield,1997-03-30
Jalen Suggs,2001-06-03
Franz Wagner,2001-08-27
Moritz Wagner,1997-04-26
