PLAYER,BIRTH_DATE
Jarrett Allen,1998-04-21
Justin Anderson,1993-11-19
Moses Brown,1999-10-13
Ed Davis,1989-06-05
Tacko Fall,1995-12-10
Tim Frazier,1990-11-01
Darius Garland,2000-01-26
Brandon Goodwin,1995-10-02
Luke Kornet,1995-07-15
Caris LeVert,1994-08-25
Kevin Love,1988-09-07
Lauri Markkanen,1997-05-22
Evan Mobley,2001-06-18
RJ Nembhard Jr.,1999-03-22
Malik Newman,1997-02-21
Isaac Okoro,2001-01-26
Cedi Osman,1995-04-08
Kevin Pangos,1993-01-26
Rajon Rondo,1986-02-22
Ricky Rubio,1990-10-21
Tre Scott,1996-11-25
Collin Sexton,1999-01-04
Lamar Stevens,1997-07-09
Denzel Valentine,1993-11-16
Dean Wade,1996-11-20
Dylan Windler,1996-09-22
