PLAYER,BIRTH_DATE
Lonzo Ball,1997-10-27
Jordan Bell,1995-01-07
Tony Bradley,1998-01-08
Troy Brown Jr.,1999-07-28
Alex Caruso,1994-02-28
Tyler Cook,1997-09-23
DeMar DeRozan,1989-08-07
Ayo Dosunmu,2000-01-17
Devon Dotson,1999-08-02
Javonte Green,1993-07-23
Malcolm Hill,1995-10-26
Alize Johnson,1996-04-22
Derrick Jones Jr.,1997-02-15
Zach LaVine,1995-03-10
Mac McClung,1999-01-06
Alfonzo McKinnie,1992-09-17
Marko Simonovic,1999-10-15
Matt Thomas,1994-08-04
Tristan Thompson,1991-03-13
Nikola Vučević,1990-10-24
Coby White,2000-02-16
Patrick Williams,2001-08-26
