PLAYER,BIRTH_DATE
D.J. Augustin,1987-11-10
Armoni Brooks,1998-06-05
Josh Christopher,2001-12-08
Bruno Fernando,1998-08-15
Usman Garuba,2002-03-09
Eric Gordon,1988-12-25
Jalen Green,2002-02-09
Danuel House Jr.,1993-06-07
Kenyon Martin Jr.,2001-01-06
Garrison Mathews,1996-10-24
Daishen Nix,2002-02-13
David Nwaba,1993-01-14
Kevin Porter Jr.,2000-05-04
Trevelin Queen,1997-02-25
Dennis Schröder,1993-09-15
Alperen Şengün,2002-07-25
Jae'Sean Tate,1995-10-28
Daniel Theis,1992-04-04
Christian Wood,1995-09-27
