PLAYER,BIRTH_DATE
Marvin Bagley III,1999-03-14
Harrison Barnes,1992-05-30
Terence Davis,1997-05-16
Donte DiVincenzo,1997-01-31
De'Aaron Fox,1997-12-20
Tyrese Haliburton,2000-02-29
Maurice Harkless,1993-05-11
Buddy Hield,1992-12-17
Justin Holiday,1989-04-05
Richaun Holmes,1993-10-15
Josh Jackson,1997-02-10
Damian Jones,1995-06-30
Louis King,1999-04-06
Jeremy Lamb,1992-05-30
Alex Len,1993-06-16
Trey Lyles,1995-11-05
Chimezie Metu,1997-03-22
Davion Mitchell,1998-09-05
Emmanuel Mudiay,1996-03-05
Ade Murkey,1998-01-29
Neemias Queta,1999-07-13
Jahmi'us Ramsey,2001-06-09
Justin Robinson,1997-10-12
Domantas Sabonis,1996-05-03
Tristan Thompson,1991-03-13
Robert Woodard II,1999-09-22
