PLAYER,BIRTH_DATE
Jaylen Adams,1996-05-04
Carmelo Anthony,1984-05-29
Trevor Ariza,1985-06-30
Kent Bazemore,1989-07-01
Moses Brown,1999-10-13
Zach Collins,1997-11-19
Wenyen Gabriel,1997-03-26
Mario Hezonja,1995-02-25
Jaylen Hoard,1999-03-30
Rodney Hood,1992-10-20
Skal Labissière,1996-03-18
Damian Lillard,1990-07-15
Nassir Little,2000-02-11
CJ McCollum,1991-09-19
Jusuf Nurkić,1994-08-23
Anfernee Simons,1999-06-08
Caleb Swanigan,1997-04-18
Anthony Tolliver,1985-06-01
Gary Trent Jr.,1999-01-18
Hassan Whiteside,1989-06-13
