PLAYER,BIRTH_DATE
Kostas Antetokounmpo,1997-11-20
Avery Bradley,1990-11-26
Devontae Cacok,1996-10-08
Kentavious Caldwell-Pope,1993-02-18
Alex Caruso,1994-02-28
Quinn Cook,1993-03-23
Troy Daniels,1991-07-15
Anthony Davis,1993-03-11
Jared Dudley,1985-07-10
Danny Green,1987-06-22
Talen Horton-Tucker,2000-11-25
Dwight Howard,1985-12-08
LeBron James,1984-12-30
Kyle Kuzma,1995-07-24
JaVale McGee,1988-01-19
Markieff Morris,1989-09-02
Zach Norvell,1997-12-09
Rajon Rondo,1986-02-22
J.R. Smith,1985-09-09
Dion Waiters,1991-12-10
