PLAYER,BIRTH_DATE
J.J. Barea,1984-06-26
Ryan Broekhoff,1990-08-23
Jalen Brunson,1996-08-31
Trey Burke,1992-11-12
Willie Cauley-Stein,1993-08-18
Antonius Cleveland,1994-02-02
Seth Curry,1990-08-23
Luka Dončić,1999-02-28
Dorian Finney-Smith,1993-05-04
Tim Hardaway Jr.,1992-03-16
Justin Jackson,1995-03-28
Michael Kidd-Gilchrist,1993-09-26
Maxi Kleber,1992-01-29
Courtney Lee,1985-10-03
Boban Marjanović,1988-08-15
Kristaps Porziņģis,1995-08-02
Dwight Powell,1991-07-20
Josh Reaves,1997-06-04
Delon Wright,1992-04-26
