PLAYER,BIRTH_DATE
DeAndre' Bembry,1994-07-04
Charlie Brown Jr.,1997-02-02
Vince Carter,1977-01-26
John Collins,1997-09-23
Allen Crabbe,1992-04-09
Dewayne Dedmon,1989-08-12
Bruno Fernando,1998-08-15
Brandon Goodwin,1995-10-02
Treveon Graham,1993-10-28
Kevin Huerter,1998-08-27
De'Andre Hunter,1997-12-02
Damian Jones,1995-06-30
Alex Len,1993-06-16
Jabari Parker,1995-03-15
Chandler Parsons,1988-10-25
Cam Reddish,1999-09-01
Jeff Teague,1988-06-10
Evan Turner,1988-10-27
Tyrone Wallace,1994-06-10
Paul Watson,1994-12-30
Trae Young,1998-09-19
