PLAYER,BIRTH_DATE
Keita Bates-Diop,1996-01-23
Malik Beasley,1996-11-26
Jordan Bell,1995-01-07
Robert Covington,1990-12-14
Allen Crabbe,1992-04-09
Jarrett Culver,1999-02-20
Gorgui Dieng,1990-01-18
Jacob Evans,1997-06-18
Treveon Graham,1993-10-28
Juancho Hernangómez,1995-09-28
James Johnson,1987-02-20
Jake Layman,1994-03-07
Kelan Martin,1995-08-03
Jordan McLaughlin,1996-04-09
Shabazz Napier,1991-07-14
Jaylen Nowell,1999-07-09
Josh Okogie,1998-09-01
Naz Reid,1999-08-26
D'Angelo Russell,1996-02-23
Jeff Teague,1988-06-10
Karl-Anthony Towns,1995-11-15
Jarred Vanderbilt,1999-04-03
Noah Vonleh,1995-08-24
Andrew Wiggins,1995-02-23
