PLAYER,BIRTH_DATE
Marques Bolden,1998-04-17
Jordan Clarkson,1992-06-07
Tyler Cook,1997-09-23
Matthew Dellavedova,1990-09-08
Andre Drummond,1993-08-10
Dante Exum,1995-07-13
Darius Garland,2000-01-26
John Henson,1990-12-28
Brandon Knight,1991-12-02
Kevin Love,1988-09-07
J.P. Macura,1995-06-05
Alfonzo McKinnie,1992-09-17
Matt Mooney,1996-02-07
Larry Nance Jr.,1993-01-01
Malik Newman,1997-02-21
Cedi Osman,1995-04-08
Kevin Porter Jr.,2000-05-04
Collin Sexton,1999-01-04
Tristan Thompson,1991-03-13
Dean Wade,1996-11-20
Ante Žižić,1997-01-04
