PLAYER,BIRTH_DATE
Dragan Bender,1997-11-17
Ky Bowman,1997-06-16
Alec Burks,1991-07-20
Willie Cauley-Stein,1993-08-18
Marquese Chriss,1997-07-02
Stephen Curry,1988-03-14
Jacob Evans,1997-06-18
Draymond Green,1990-03-04
Damion Lee,1992-10-21
Kevon Looney,1996-02-06
Mychal Mulder,1994-06-12
Zach Norvell,1997-12-09
Jeremy Pargo,1986-03-17
Eric Paschall,1996-11-04
Jordan Poole,1999-06-19
Chasson Randle,1993-02-05
Glenn Robinson III,1994-01-08
D'Angelo Russell,1996-02-23
Alen Smailagić,2000-08-18
Omari Spellman,1997-07-21
Juan Toscano-Anderson,1993-04-10
Andrew Wiggins,1995-02-23
