PLAYER,BIRTH_DATE
Jordan Bone,1997-11-05
Bruce Brown,1996-08-15
Sekou Doumbouya,2000-12-23
Andre Drummond,1993-08-10
Tim Frazier,1990-11-01
Langston Galloway,1991-12-09
Blake Griffin,1989-03-16
Donta Hall,1997-08-07
John Henson,1990-12-28
Reggie Jackson,1990-04-16
Luke Kennard,1996-06-24
Louis King,1999-04-06
Brandon Knight,1991-12-02
Thon Maker,1997-02-25
Jordan McRae,1991-03-28
Markieff Morris,1989-09-02
Svi Mykhailiuk,1997-06-10
Derrick Rose,1988-10-04
Tony Snell,1991-11-10
Khyri Thomas,1996-05-08
Derrick Walton,1995-04-03
Christian Wood,1995-09-27
