PLAYER,BIRTH_DATE
Lonzo Ball,1997-10-27
Michael Beasley,1989-01-09
Isaac Bonga,1999-11-08
Reggie Bullock,1991-03-16
Kentavious Caldwell-Pope,1993-02-18
Alex Caruso,1994-02-28
Tyson Chandler,1982-10-02
Josh Hart,1995-03-06
Andre Ingram,1985-11-19
Brandon Ingram,1997-09-02
LeBron James,1984-12-30
Jemerrio Jones,1995-04-09
Kyle Kuzma,1995-07-24
Scott Machado,1990-06-08
JaVale McGee,1988-01-19
Mike Muscala,1991-07-01
Svi Mykhailiuk,1997-06-10
Rajon Rondo,1986-02-22
Lance Stephenson,1990-09-05
Moritz Wagner,1997-04-26
Johnathan Williams,1995-05-22
Ivica Zubac,1997-03-18
