PLAYER,BIRTH_DATE
Quincy Acy,1990-10-06
Ryan Anderson,1988-05-06
Trevor Ariza,1985-06-30
Deandre Ayton,1998-07-23
Dragan Bender,1997-11-17
Devin Booker,1996-10-30
Mikal Bridges,1996-08-30
Isaiah Canaan,1991-05-21
Tyson Chandler,1982-10-02
Jamal Crawford,1980-03-20
Troy Daniels,1991-07-15
Jawun Evans,1996-07-26
Jimmer Fredette,1989-02-25
Richaun Holmes,1993-10-15
Josh Jackson,1997-02-10
Tyler Johnson,1992-05-07
George King,1994-01-15
De'Anthony Melton,1998-05-28
Eric Moreland,1991-12-24
Elie Okobo,1997-10-23
Kelly Oubre Jr.,1995-12-09
Ray Spalding,1997-03-11
Emanuel Terry,1996-08-21
T.J. Warren,1993-09-05
