PLAYER,BIRTH_DATE
Patrick Beverley,1988-07-12
Avery Bradley,1990-11-26
Wilson Chandler,1987-05-10
Ángel Delgado,1994-11-20
Danilo Gallinari,1988-08-08
Shai Gilgeous-Alexander,1998-07-12
Marcin Gortat,1984-02-17
JaMychal Green,1990-06-21
Montrezl Harrell,1994-01-26
Tobias Harris,1992-07-15
Boban Marjanović,1988-08-15
Luc Mbah a Moute,1986-09-09
Johnathan Motley,1995-05-04
Jerome Robinson,1997-02-22
Mike Scott,1988-07-16
Landry Shamet,1997-03-13
Garrett Temple,1986-05-08
Miloš Teodosić,1987-03-19
Sindarius Thornwell,1994-11-15
Tyrone Wallace,1994-06-10
Lou Williams,1986-10-27
Ivica Zubac,1997-03-18
