PLAYER,BIRTH_DATE
Trevor Ariza,1985-06-30
Ron Baker,1993-03-30
Bradley Beal,1993-06-28
Troy Brown Jr.,1999-07-28
Thomas Bryant,1997-07-31
Sam Dekker,1994-05-06
Jeff Green,1986-08-28
Dwight Howard,1985-12-08
John Jenkins,1991-03-06
Wesley Johnson,1987-07-11
Ian Mahinmi,1986-11-05
Jordan McRae,1991-03-28
Markieff Morris,1989-09-02
Kelly Oubre Jr.,1995-12-09
Jabari Parker,1995-03-15
Gary Payton II,1992-12-01
Otto Porter Jr.,1993-06-03
Bobby Portis,1995-02-10
Chasson Randle,1993-02-05
Austin Rivers,1992-08-01
Devin Robinson,1995-03-07
Tomáš Satoranský,1991-10-30
Jason Smith,1986-03-02
John Wall,1990-09-06
Okaro White,1992-08-13
