PLAYER,BIRTH_DATE
Giannis Antetokounmpo,1994-12-06
Eric Bledsoe,1989-12-09
Malcolm Brogdon,1992-12-11
Sterling Brown,1995-02-10
Isaiah Canaan,1991-05-21
Bonzie Colson,1996-01-12
Pat Connaughton,1993-01-06
Matthew Dellavedova,1990-09-08
Donte DiVincenzo,1997-01-31
Trevon Duval,1998-08-03
Tim Frazier,1990-11-01
Pau Gasol,1980-07-06
John Henson,1990-12-28
George Hill,1986-05-04
Ersan İlyasova,1987-05-15
Brook Lopez,1988-04-01
Thon Maker,1997-02-25
Khris Middleton,1991-08-12
Nikola Mirotić,1991-02-11
Jaylen Morris,1995-09-19
Jason Smith,1986-03-02
Tony Snell,1991-11-10
D.J. Wilson,1996-02-19
Christian Wood,1995-09-27
