PLAYER,BIRTH_DATE
OG Anunoby,1997-07-17
Chris Boucher,1993-01-11
Lorenzo Brown,1990-08-26
Marc Gasol,1985-01-29
Danny Green,1987-06-22
Serge Ibaka,1989-09-18
Kawhi Leonard,1991-06-29
Jeremy Lin,1988-08-23
Kyle Lowry,1986-03-25
Jordan Loyd,1993-07-27
Patrick McCaw,1995-10-25
Jodie Meeks,1987-08-21
C.J. Miles,1987-03-18
Malcolm Miller,1993-03-06
Greg Monroe,1990-06-04
Eric Moreland,1991-12-24
Norman Powell,1993-05-25
Malachi Richardson,1996-01-05
Pascal Siakam,1994-04-02
Jonas Valančiūnas,1992-05-06
Fred VanVleet,1994-02-25
Delon Wright,1992-04-26
