PLAYER,BIRTH_DATE
Deng Adel,1997-02-01
Jaron Blossomgame,1993-09-16
Alec Burks,1991-07-20
Marquese Chriss,1997-07-02
Jordan Clarkson,1992-06-07
Sam Dekker,1994-05-06
Matthew Dellavedova,1990-09-08
Channing Frye,1983-05-17
Andrew Harrison,1994-10-28
George Hill,1986-05-04
John Holland,1988-11-06
Rodney Hood,1992-10-20
Jalen Jones,1993-05-27
Brandon Knight,1991-12-02
Kyle Korver,1981-03-17
Kevin Love,1988-09-07
Patrick McCaw,1995-10-25
Larry Nance Jr.,1993-01-01
David Nwaba,1993-01-14
Cedi Osman,1995-04-08
Cameron Payne,1994-08-08
Collin Sexton,1999-01-04
Kobi Simmons,1997-07-04
J.R. Smith,1985-09-09
Nik Stauskas,1993-10-07
Tristan Thompson,1991-03-13
Ante Žižić,1997-01-04
